ma_phieu,tuyen,lop,so_thu_tu,loai,nhom_ma,nhom_ten,ten_phieu,hoc_ky,tuan,moc_kiem_tra,thoi_luong_phut,thang_diem
GITA-T1-L3-P011,T1,3,11,CD,D,Toán điển hình & Giải toán có lời văn,Gấp một số lên nhiều lần — Giảm một số đi nhiều lần,HK1,4,Giữa kỳ I,90,100
GITA-T1-L3-P012,T1,3,12,CD,A,Số học & Cấu tạo số,"Số chẵn, số lẻ trong phạm vi 1000 và tính chất cơ bản",HK1,4,Giữa kỳ I,90,100
GITA-T1-L3-P013,T1,3,13,CD,C,Dãy số & Quy luật,Dãy số cách đều: nhận ra quy luật và viết tiếp,HK1,5,Giữa kỳ I,90,100
GITA-T1-L3-P014,T1,3,14,CD,D,Toán điển hình & Giải toán có lời văn,So sánh số lớn gấp mấy lần số bé,HK1,5,Giữa kỳ I,90,100
GITA-T1-L3-P015,T1,3,15,CD,D,Toán điển hình & Giải toán có lời văn,So sánh số bé bằng một phần mấy số lớn,HK1,5,Giữa kỳ I,90,100
GITA-T1-L3-P016,T1,3,16,CD,F,Hình học,"Góc vuông, góc không vuông — sử dụng ê ke",HK1,6,Giữa kỳ I,90,100
GITA-T1-L3-P017,T1,3,17,CD,B,Phép tính & Tính nhanh,"Nhân số có hai, ba chữ số với số có một chữ số",HK1,6,Giữa kỳ I,90,100
GITA-T1-L3-P018,T1,3,18,CD,E,Đại lượng – Đo lường – Thời gian,Đơn vị đo khối lượng: gam và ki-lô-gam,HK1,6,Giữa kỳ I,90,100
GITA-T1-L3-P019,T1,3,19,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán giải bằng hai phép tính — dạng cơ bản,HK1,7,Giữa kỳ I,90,100
GITA-T1-L3-P020,T1,3,20,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 2 — Tổng ôn phiếu P011–P019,HK1,7,Giữa kỳ I,90,100
GITA-T1-L3-P021,T1,3,21,CD,B,Phép tính & Tính nhanh,"Chia số có hai, ba chữ số cho số có một chữ số",HK1,7,Giữa kỳ I,90,100
GITA-T1-L3-P022,T1,3,22,CD,A,Số học & Cấu tạo số,"Tìm thành phần chưa biết của phép cộng, phép trừ",HK1,8,Giữa kỳ I,90,100
GITA-T1-L3-P023,T1,3,23,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Một phần mấy của một số — nhận biết và tìm,HK1,8,Giữa kỳ I,90,100
GITA-T1-L3-P024,T1,3,24,CD,F,Hình học,"Chu vi hình tam giác, hình tứ giác",HK1,8,Giữa kỳ I,90,100
GITA-T1-L3-P025,T1,3,25,CD,G,Suy luận logic & Toán đếm,"Suy luận đơn giản: đúng – sai, sắp thứ tự",HK1,9,Giữa kỳ I,90,100
GITA-T1-L3-P026,T1,3,26,CD,B,Phép tính & Tính nhanh,Tính giá trị biểu thức có hai dấu phép tính,HK1,9,Giữa kỳ I,90,100
GITA-T1-L3-P027,T1,3,27,CD,E,Đại lượng – Đo lường – Thời gian,Xem đồng hồ; đơn vị đo thời gian giờ – phút,HK1,9,Giữa kỳ I,90,100
GITA-T1-L3-P028,T1,3,28,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán rút về đơn vị — bước đầu,HK1,10,Cuối kỳ I,90,100
GITA-T1-L3-P029,T1,3,29,CD,F,Hình học,"Chu vi hình chữ nhật, hình vuông",HK1,10,Cuối kỳ I,90,100
GITA-T1-L3-P030,T1,3,30,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 3 — Tổng ôn phiếu P021–P029,HK1,10,Cuối kỳ I,90,100
GITA-T1-L3-P031,T1,3,31,CD,A,Số học & Cấu tạo số,"Tìm thành phần chưa biết của phép nhân, phép chia",HK1,11,Cuối kỳ I,90,100
GITA-T1-L3-P032,T1,3,32,CD,C,Dãy số & Quy luật,Quy luật hình: tìm hình tiếp theo trong dãy hình,HK1,11,Cuối kỳ I,90,100
GITA-T1-L3-P033,T1,3,33,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán kết hợp gấp – giảm và hai phép tính,HK1,11,Cuối kỳ I,90,100
GITA-T1-L3-P034,T1,3,34,CD,B,Phép tính & Tính nhanh,Tính giá trị biểu thức có dấu ngoặc,HK1,12,Cuối kỳ I,90,100
GITA-T1-L3-P035,T1,3,35,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Bảng thống kê số liệu — đọc và trả lời câu hỏi,HK1,12,Cuối kỳ I,90,100
GITA-T1-L3-P036,T1,3,36,CD,E,Đại lượng – Đo lường – Thời gian,Tiền Việt Nam — mua bán và trả lại tiền,HK1,12,Cuối kỳ I,90,100
GITA-T1-L3-P037,T1,3,37,CD,F,Hình học,"Điểm ở giữa, trung điểm của đoạn thẳng",HK1,13,Cuối kỳ I,90,100
GITA-T1-L3-P038,T1,3,38,CD,A,Số học & Cấu tạo số,"Số có bốn chữ số: đọc, viết, cấu tạo",HK1,13,Cuối kỳ I,90,100
GITA-T1-L3-P039,T1,3,39,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán nhiều hơn – ít hơn kết hợp gấp – giảm,HK1,13,Cuối kỳ I,90,100
GITA-T1-L3-P040,T1,3,40,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 4 — Tổng ôn phiếu P031–P039,HK1,14,Cuối kỳ I,90,100
GITA-T1-L3-P041,T1,3,41,CD,A,Số học & Cấu tạo số,So sánh và xếp thứ tự các số có bốn chữ số,HK1,14,Cuối kỳ I,90,100
GITA-T1-L3-P042,T1,3,42,CD,B,Phép tính & Tính nhanh,"Cộng, trừ các số có bốn chữ số",HK1,14,Cuối kỳ I,90,100
GITA-T1-L3-P043,T1,3,43,CD,G,Suy luận logic & Toán đếm,Suy luận logic: bài toán cân đĩa đơn giản,HK1,15,Cuối kỳ I,90,100
GITA-T1-L3-P044,T1,3,44,CD,C,Dãy số & Quy luật,"Dãy số theo quy luật nhân: gấp đôi, gấp ba",HK1,15,Cuối kỳ I,90,100
GITA-T1-L3-P045,T1,3,45,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán rút về đơn vị dạng 2 — tìm số phần,HK1,15,Cuối kỳ I,90,100
GITA-T1-L3-P046,T1,3,46,CD,F,Hình học,"Hình tròn: tâm, bán kính, đường kính",HK1,16,Cuối kỳ I,90,100
GITA-T1-L3-P047,T1,3,47,CD,E,Đại lượng – Đo lường – Thời gian,Tháng – năm và cách xem lịch,HK1,16,Cuối kỳ I,90,100
GITA-T1-L3-P048,T1,3,48,CD,A,Số học & Cấu tạo số,"Làm tròn số đến hàng chục, hàng trăm",HK1,16,Cuối kỳ I,90,100
GITA-T1-L3-P049,T1,3,49,CD,B,Phép tính & Tính nhanh,Nhân số có bốn chữ số với số có một chữ số,HK1,17,Cuối kỳ I,90,100
GITA-T1-L3-P050,T1,3,50,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 5 — Tổng ôn phiếu P041–P049,HK1,17,Cuối kỳ I,90,100
GITA-T1-L3-P051,T1,3,51,CD,A,Số học & Cấu tạo số,"Số có năm chữ số: đọc, viết, cấu tạo",HK1,17,Cuối kỳ I,90,100
GITA-T1-L3-P052,T1,3,52,CD,B,Phép tính & Tính nhanh,Chia số có bốn chữ số cho số có một chữ số,HK1,18,Cuối kỳ I,90,100
GITA-T1-L3-P053,T1,3,53,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán có lời văn hai bước với số có bốn chữ số,HK1,18,Cuối kỳ I,90,100
GITA-T1-L3-P054,T1,3,54,CD,F,Hình học,Diện tích của một hình — đơn vị xăng-ti-mét vuông,HK1,18,Cuối kỳ I,90,100
GITA-T1-L3-P055,T1,3,55,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Biểu đồ tranh — đọc và lập,HK2,19,Giữa kỳ II,90,100
GITA-T1-L3-P056,T1,3,56,CD,C,Dãy số & Quy luật,"Dãy số hình: số chấm tròn, số que diêm",HK2,19,Giữa kỳ II,90,100
GITA-T1-L3-P057,T1,3,57,CD,A,Số học & Cấu tạo số,"Cộng, trừ, so sánh số có năm chữ số",HK2,19,Giữa kỳ II,90,100
GITA-T1-L3-P058,T1,3,58,CD,F,Hình học,Diện tích hình chữ nhật,HK2,20,Giữa kỳ II,90,100
GITA-T1-L3-P059,T1,3,59,CD,G,Suy luận logic & Toán đếm,Bài toán trồng cây trên đường thẳng,HK2,20,Giữa kỳ II,90,100
GITA-T1-L3-P060,T1,3,60,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 6 — Tổng ôn phiếu P051–P059,HK2,20,Giữa kỳ II,90,100
GITA-T1-L3-P061,T1,3,61,CD,B,Phép tính & Tính nhanh,"Nhân, chia số có năm chữ số với số có một chữ số",HK2,21,Giữa kỳ II,90,100
GITA-T1-L3-P062,T1,3,62,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán liên quan đến rút về đơn vị — nâng cao,HK2,21,Giữa kỳ II,90,100
GITA-T1-L3-P063,T1,3,63,CD,F,Hình học,Diện tích hình vuông,HK2,21,Giữa kỳ II,90,100
GITA-T1-L3-P064,T1,3,64,CD,E,Đại lượng – Đo lường – Thời gian,Đơn vị đo dung tích: mi-li-lít và lít,HK2,22,Giữa kỳ II,90,100
GITA-T1-L3-P065,T1,3,65,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Tìm một phần mấy của một số trong bài toán có lời văn,HK2,22,Giữa kỳ II,90,100
GITA-T1-L3-P066,T1,3,66,CD,A,Số học & Cấu tạo số,"Tính chất phép nhân: giao hoán, kết hợp, nhân với 1 và 0",HK2,22,Giữa kỳ II,90,100
GITA-T1-L3-P067,T1,3,67,CD,C,Dãy số & Quy luật,Tổng của dãy số cách đều — dạng đơn giản,HK2,23,Giữa kỳ II,90,100
GITA-T1-L3-P068,T1,3,68,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán tổng – hiệu làm quen bằng sơ đồ đoạn thẳng,HK2,23,Giữa kỳ II,90,100
GITA-T1-L3-P069,T1,3,69,CD,G,Suy luận logic & Toán đếm,Suy luận: bài toán về tuổi đơn giản,HK2,23,Giữa kỳ II,90,100
GITA-T1-L3-P070,T1,3,70,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 7 — Tổng ôn phiếu P061–P069,HK2,24,Giữa kỳ II,90,100
GITA-T1-L3-P071,T1,3,71,CD,B,Phép tính & Tính nhanh,"Tính nhanh tổng, hiệu bằng cách nhóm số",HK2,24,Giữa kỳ II,90,100
GITA-T1-L3-P072,T1,3,72,CD,F,Hình học,"Ghép hình, cắt hình từ hình chữ nhật và hình vuông",HK2,24,Giữa kỳ II,90,100
GITA-T1-L3-P073,T1,3,73,CD,E,Đại lượng – Đo lường – Thời gian,Bài toán về thời gian: bắt đầu – kết thúc – kéo dài,HK2,25,Giữa kỳ II,90,100
GITA-T1-L3-P074,T1,3,74,CD,A,Số học & Cấu tạo số,Chữ số tận cùng của một tích đơn giản,HK2,25,Giữa kỳ II,90,100
GITA-T1-L3-P075,T1,3,75,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán về trung bình cộng — làm quen,HK2,25,Giữa kỳ II,90,100
GITA-T1-L3-P076,T1,3,76,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,"Tỉ số đơn giản: gấp mấy lần, bằng một phần mấy",HK2,26,Giữa kỳ II,90,100
GITA-T1-L3-P077,T1,3,77,CD,F,Hình học,Bài toán kết hợp chu vi và diện tích,HK2,26,Giữa kỳ II,90,100
GITA-T1-L3-P078,T1,3,78,CD,C,Dãy số & Quy luật,Quy luật số: tìm số còn thiếu trong bảng,HK2,26,Giữa kỳ II,90,100
GITA-T1-L3-P079,T1,3,79,CD,B,Phép tính & Tính nhanh,Tính nhanh tích bằng tách và ghép thừa số,HK2,27,Cuối kỳ II,90,100
GITA-T1-L3-P080,T1,3,80,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 8 — Tổng ôn phiếu P071–P079,HK2,27,Cuối kỳ II,90,100
GITA-T1-L3-P081,T1,3,81,CD,G,Suy luận logic & Toán đếm,"Toán đếm: đếm số lượng chữ số, đếm số theo điều kiện",HK2,27,Cuối kỳ II,90,100
GITA-T1-L3-P082,T1,3,82,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán về mua bán và tiền hàng,HK2,28,Cuối kỳ II,90,100
GITA-T1-L3-P083,T1,3,83,CD,F,Hình học,Đếm hình nâng cao: hình vuông và hình chữ nhật trong lưới ô,HK2,28,Cuối kỳ II,90,100
GITA-T1-L3-P084,T1,3,84,CD,A,Số học & Cấu tạo số,Bài toán về cấu tạo số có ba chữ số,HK2,28,Cuối kỳ II,90,100
GITA-T1-L3-P085,T1,3,85,CD,E,Đại lượng – Đo lường – Thời gian,Bài toán đổi đơn vị đo tổng hợp,HK2,29,Cuối kỳ II,90,100
GITA-T1-L3-P086,T1,3,86,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán có lời văn ba bước,HK2,29,Cuối kỳ II,90,100
GITA-T1-L3-P087,T1,3,87,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Đọc và phân tích bảng số liệu kép,HK2,29,Cuối kỳ II,90,100
GITA-T1-L3-P088,T1,3,88,CD,B,Phép tính & Tính nhanh,Ôn tập bốn phép tính — tính nhanh tổng hợp,HK2,30,Cuối kỳ II,90,100
GITA-T1-L3-P089,T1,3,89,CD,D,Toán điển hình & Giải toán có lời văn,Ôn tập giải toán có lời văn tổng hợp,HK2,30,Cuối kỳ II,90,100
GITA-T1-L3-P090,T1,3,90,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 9 — Tổng ôn phiếu P081–P089,HK2,30,Cuối kỳ II,90,100
GITA-T1-L3-P091,T1,3,91,CD,A,Số học & Cấu tạo số,Ôn tập số học lớp 3,HK2,31,Cuối kỳ II,90,100
GITA-T1-L3-P092,T1,3,92,CD,F,Hình học,Ôn tập hình học lớp 3,HK2,31,Cuối kỳ II,90,100
GITA-T1-L3-P093,T1,3,93,CD,C,Dãy số & Quy luật,Ôn tập dãy số và quy luật,HK2,31,Cuối kỳ II,90,100
GITA-T1-L3-P094,T1,3,94,CD,E,Đại lượng – Đo lường – Thời gian,Ôn tập đại lượng và đo lường,HK2,32,Cuối kỳ II,90,100
GITA-T1-L3-P095,T1,3,95,CD,G,Suy luận logic & Toán đếm,Ôn tập suy luận và toán đếm,HK2,32,Cuối kỳ II,90,100
GITA-T1-L3-P096,T1,3,96,CD,D,Toán điển hình & Giải toán có lời văn,Ôn tập toán điển hình,HK2,32,Cuối kỳ II,90,100
GITA-T1-L3-P097,T1,3,97,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,"Ôn tập phân số, tỉ số và thống kê",HK2,33,Cuối kỳ II,90,100
GITA-T1-L3-P098,T1,3,98,CD,B,Phép tính & Tính nhanh,Ôn tập phép tính và tính nhanh,HK2,33,Cuối kỳ II,90,100
GITA-T1-L3-P099,T1,3,99,CD,D,Toán điển hình & Giải toán có lời văn,Tổng ôn cuối năm — bài toán tổng hợp,HK2,33,Cuối kỳ II,90,100
GITA-T1-L3-P100,T1,3,100,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 10 — Tổng ôn phiếu P091–P099,HK2,34,Cuối kỳ II,90,100
GITA-T2-L3-P001,T2,3,1,CD,A,Số học & Cấu tạo số,Cấu tạo thập phân của số — viết số thành tổng,HK1,1,Giữa kỳ I,90,100
GITA-T2-L3-P002,T2,3,2,CD,B,Phép tính & Tính nhanh,Tính nhanh tổng nhiều số hạng bằng kỹ thuật ghép cặp,HK1,1,Giữa kỳ I,90,100
GITA-T2-L3-P003,T2,3,3,CD,G,Suy luận logic & Toán đếm,Suy luận logic: bảng đúng – sai và phương pháp loại trừ,HK1,1,Giữa kỳ I,90,100
GITA-T2-L3-P004,T2,3,4,CD,C,Dãy số & Quy luật,Dãy số cách đều: tìm số hạng thứ n,HK1,2,Giữa kỳ I,90,100
GITA-T2-L3-P005,T2,3,5,CD,F,Hình học,"Đếm hình: đoạn thẳng, tam giác trong hình cho trước",HK1,2,Giữa kỳ I,90,100
GITA-T2-L3-P006,T2,3,6,CD,A,Số học & Cấu tạo số,Số chẵn – số lẻ: tính chẵn lẻ của tổng và của tích,HK1,2,Giữa kỳ I,90,100
GITA-T2-L3-P007,T2,3,7,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán tổng – hiệu bằng sơ đồ đoạn thẳng,HK1,3,Giữa kỳ I,90,100
GITA-T2-L3-P008,T2,3,8,CD,B,Phép tính & Tính nhanh,Tính nhanh bằng tính chất phân phối,HK1,3,Giữa kỳ I,90,100
GITA-T2-L3-P009,T2,3,9,CD,G,Suy luận logic & Toán đếm,Bài toán cân đĩa và so sánh khối lượng,HK1,3,Giữa kỳ I,90,100
GITA-T2-L3-P010,T2,3,10,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 1 — Tổng ôn phiếu P001–P009,HK1,4,Giữa kỳ I,90,100
GITA-T2-L3-P011,T2,3,11,CD,C,Dãy số & Quy luật,Dãy số cách đều: tìm số số hạng và tính tổng,HK1,4,Giữa kỳ I,90,100
GITA-T2-L3-P012,T2,3,12,CD,A,Số học & Cấu tạo số,"Cấu tạo số: bài toán viết thêm, xoá bớt chữ số",HK1,4,Giữa kỳ I,90,100
GITA-T2-L3-P013,T2,3,13,CD,F,Hình học,"Đếm hình vuông, hình chữ nhật trong lưới ô vuông",HK1,5,Giữa kỳ I,90,100
GITA-T2-L3-P014,T2,3,14,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán tổng – tỉ làm quen bằng sơ đồ,HK1,5,Giữa kỳ I,90,100
GITA-T2-L3-P015,T2,3,15,CD,G,Suy luận logic & Toán đếm,Nguyên lý Đi-rích-lê mức làm quen — bài toán chuồng và thỏ,HK1,5,Giữa kỳ I,90,100
GITA-T2-L3-P016,T2,3,16,CD,B,Phép tính & Tính nhanh,Tìm x trong biểu thức nhiều bước,HK1,6,Giữa kỳ I,90,100
GITA-T2-L3-P017,T2,3,17,CD,E,Đại lượng – Đo lường – Thời gian,"Đổi đơn vị đo độ dài, khối lượng — bài toán ngược",HK1,6,Giữa kỳ I,90,100
GITA-T2-L3-P018,T2,3,18,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán hiệu – tỉ làm quen bằng sơ đồ,HK1,6,Giữa kỳ I,90,100
GITA-T2-L3-P019,T2,3,19,CD,C,Dãy số & Quy luật,Quy luật hình và quy luật số kết hợp,HK1,7,Giữa kỳ I,90,100
GITA-T2-L3-P020,T2,3,20,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 2 — Tổng ôn phiếu P011–P019,HK1,7,Giữa kỳ I,90,100
GITA-T2-L3-P021,T2,3,21,CD,G,Suy luận logic & Toán đếm,Bài toán trồng cây: đường thẳng và đường khép kín,HK1,7,Giữa kỳ I,90,100
GITA-T2-L3-P022,T2,3,22,CD,A,Số học & Cấu tạo số,Chữ số tận cùng của tổng và của tích,HK1,8,Giữa kỳ I,90,100
GITA-T2-L3-P023,T2,3,23,CD,F,Hình học,Chu vi các hình ghép từ hình chữ nhật,HK1,8,Giữa kỳ I,90,100
GITA-T2-L3-P024,T2,3,24,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán trung bình cộng — dạng cơ bản và dạng ẩn,HK1,8,Giữa kỳ I,90,100
GITA-T2-L3-P025,T2,3,25,CD,B,Phép tính & Tính nhanh,Tính nhanh dãy tính có quy luật,HK1,9,Giữa kỳ I,90,100
GITA-T2-L3-P026,T2,3,26,CD,G,Suy luận logic & Toán đếm,Toán suy luận về thứ tự và xếp hạng,HK1,9,Giữa kỳ I,90,100
GITA-T2-L3-P027,T2,3,27,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,Một phần mấy — tìm số khi biết phân số của nó,HK1,9,Giữa kỳ I,90,100
GITA-T2-L3-P028,T2,3,28,CD,C,Dãy số & Quy luật,Dãy số theo quy luật nhân và quy luật hỗn hợp,HK1,10,Cuối kỳ I,90,100
GITA-T2-L3-P029,T2,3,29,CD,F,Hình học,Cắt và ghép hình: chia hình thành các phần bằng nhau,HK1,10,Cuối kỳ I,90,100
GITA-T2-L3-P030,T2,3,30,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 3 — Tổng ôn phiếu P021–P029,HK1,10,Cuối kỳ I,90,100
GITA-T2-L3-P031,T2,3,31,CD,A,Số học & Cấu tạo số,Bài toán về số có ba chữ số thoả điều kiện cho trước,HK1,11,Cuối kỳ I,90,100
GITA-T2-L3-P032,T2,3,32,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán rút về đơn vị và đại lượng tỉ lệ thuận,HK1,11,Cuối kỳ I,90,100
GITA-T2-L3-P033,T2,3,33,CD,G,Suy luận logic & Toán đếm,"Bài toán cân, đong, đo với số lần ít nhất",HK1,11,Cuối kỳ I,90,100
GITA-T2-L3-P034,T2,3,34,CD,B,Phép tính & Tính nhanh,Tính giá trị biểu thức có nhiều dấu ngoặc,HK1,12,Cuối kỳ I,90,100
GITA-T2-L3-P035,T2,3,35,CD,E,Đại lượng – Đo lường – Thời gian,Bài toán thời gian: khoảng thời gian và thời điểm,HK1,12,Cuối kỳ I,90,100
GITA-T2-L3-P036,T2,3,36,CD,F,Hình học,"Diện tích hình chữ nhật, hình vuông — bài toán ngược",HK1,12,Cuối kỳ I,90,100
GITA-T2-L3-P037,T2,3,37,CD,C,Dãy số & Quy luật,Tìm quy luật của bảng số,HK1,13,Cuối kỳ I,90,100
GITA-T2-L3-P038,T2,3,38,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán về tuổi — dạng đơn giản,HK1,13,Cuối kỳ I,90,100
GITA-T2-L3-P039,T2,3,39,CD,G,Suy luận logic & Toán đếm,Đếm số theo điều kiện cho trước,HK1,13,Cuối kỳ I,90,100
GITA-T2-L3-P040,T2,3,40,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 4 — Tổng ôn phiếu P031–P039,HK1,14,Cuối kỳ I,90,100
GITA-T2-L3-P041,T2,3,41,CD,A,Số học & Cấu tạo số,Bài toán về số có bốn chữ số và điều kiện của chữ số,HK1,14,Cuối kỳ I,90,100
GITA-T2-L3-P042,T2,3,42,CD,F,Hình học,Diện tích hình ghép và hình khuyết,HK1,14,Cuối kỳ I,90,100
GITA-T2-L3-P043,T2,3,43,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán về hai đại lượng tỉ lệ,HK1,15,Cuối kỳ I,90,100
GITA-T2-L3-P044,T2,3,44,CD,B,Phép tính & Tính nhanh,Tính nhanh tích và thương bằng biến đổi,HK1,15,Cuối kỳ I,90,100
GITA-T2-L3-P045,T2,3,45,CD,G,Suy luận logic & Toán đếm,Suy luận logic: bài toán ai làm việc gì,HK1,15,Cuối kỳ I,90,100
GITA-T2-L3-P046,T2,3,46,CD,C,Dãy số & Quy luật,"Dãy số hình học: số chấm, số que, số ô vuông",HK1,16,Cuối kỳ I,90,100
GITA-T2-L3-P047,T2,3,47,CD,H,Phân số – Số thập phân – Tỉ số phần trăm – Thống kê,"Bài toán về tỉ số: gấp mấy lần, bằng một phần mấy",HK1,16,Cuối kỳ I,90,100
GITA-T2-L3-P048,T2,3,48,CD,E,Đại lượng – Đo lường – Thời gian,Bài toán về tiền: đổi tiền và đếm số cách trả tiền,HK1,16,Cuối kỳ I,90,100
GITA-T2-L3-P049,T2,3,49,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán hai bước có yếu tố ẩn,HK1,17,Cuối kỳ I,90,100
GITA-T2-L3-P050,T2,3,50,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 5 — Tổng ôn phiếu P041–P049,HK1,17,Cuối kỳ I,90,100
GITA-T2-L3-P051,T2,3,51,CD,A,Số học & Cấu tạo số,Bài toán chia hết cho 2 và cho 5 — làm quen,HK1,17,Cuối kỳ I,90,100
GITA-T2-L3-P052,T2,3,52,CD,G,Suy luận logic & Toán đếm,Nguyên lý bù trừ mức làm quen với hai tập hợp,HK1,18,Cuối kỳ I,90,100
GITA-T2-L3-P053,T2,3,53,CD,F,Hình học,Đếm hình tam giác trong hình phức,HK1,18,Cuối kỳ I,90,100
GITA-T2-L3-P054,T2,3,54,CD,D,Toán điển hình & Giải toán có lời văn,Bài toán tổng – hiệu nâng cao: ẩn tổng hoặc ẩn hiệu,HK1,18,Cuối kỳ I,90,100
GITA-T2-L3-P055,T2,3,55,CD,C,Dãy số & Quy luật,Tổng dãy số cách đều — kỹ thuật ghép cặp,HK2,19,Giữa kỳ II,90,100
GITA-T2-L3-P056,T2,3,56,CD,B,Phép tính & Tính nhanh,Tính nhanh biểu thức có thừa số 0 và thừa số chung,HK2,19,Giữa kỳ II,90,100
GITA-T2-L3-P057,T2,3,57,CD,A,Số học & Cấu tạo số,Bài toán chia hết cho 3 và cho 9 qua tổng các chữ số,HK2,19,Giữa kỳ II,90,100
GITA-T2-L3-P058,T2,3,58,CD,E,Đại lượng – Đo lường – Thời gian,Bài toán về khối lượng và dung tích tổng hợp,HK2,20,Giữa kỳ II,90,100
GITA-T2-L3-P059,T2,3,59,CD,G,Suy luận logic & Toán đếm,Toán chia kẹo: chia phần bằng nhau và phần dư,HK2,20,Giữa kỳ II,90,100
GITA-T2-L3-P060,T2,3,60,DV,*,Tổng hợp nhiều nhóm chuyên đề,Kiểm tra định vị số 6 — Tổng ôn phiếu P051–P059,HK2,20,Giữa kỳ II,90,100
