Mã đề,Tên đề,Câu số,Phần thi,Câu trong phần,Chuyên đề,Mức độ,Dạng câu,Đề bài,Phương án,Đáp án,Điểm,Thời gian mục tiêu (giây),Lời giải
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,11,Toán,11,Hình học tọa độ,2,Trắc nghiệm,Hai đường thẳng y = 2x + 1 và y = 2x − 3 có vị trí tương đối là:,A. Song song | B. Trùng nhau | C. Cắt nhau | D. Vuông góc,A,1,60,Hai đường thẳng có cùng hệ số góc (đều bằng 2) nhưng khác tung độ gốc (1 và −3) nên song song. Nếu cả hai hệ số đều bằng nhau thì mới trùng nhau.
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,12,Toán,12,Mũ & logarit,2,Điền đáp án,Nghiệm của phương trình 2^(x+1) = 32 là x = ?,,4,1,60,Đưa hai vế về cùng cơ số 2: 32 = 2⁵. Hàm mũ là hàm đơn điệu nên hai lũy thừa cùng cơ số bằng nhau khi và chỉ khi số mũ bằng nhau: x + 1 = 5 ⟹ x = 4.
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,13,Toán,13,Mũ & logarit,2,Điền đáp án,Nghiệm của phương trình 3^x = 81 là x bằng bao nhiêu?,,4,1,60,"Đưa về cùng cơ số: 81 = 3⁴, mà hàm mũ đơn điệu nên x = 4."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,14,Toán,14,Hình học phẳng & không gian,2,Trắc nghiệm,"Hình hộp chữ nhật có ba kích thước 3 cm, 4 cm và 5 cm. Thể tích của nó bằng:",A. 60 cm³ | B. 47 cm³ | C. 94 cm³ | D. 12 cm³,A,1,60,Thể tích hình hộp chữ nhật là tích ba kích thước: 3 × 4 × 5 = 60 cm³.
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,15,Toán,15,"Dãy số, cấp số cộng & cấp số nhân",2,Điền đáp án,Dãy số có số hạng tổng quát uₙ = 2n + 1. Số hạng thứ 20 bằng bao nhiêu?,,41,1,60,Thay n = 20 vào công thức tổng quát: u₂₀ = 2 × 20 + 1 = 41.
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,16,Toán,16,"Dãy số, cấp số cộng & cấp số nhân",2,Trắc nghiệm,"Dãy số 1; 4; 9; 16; 25; … có số hạng tổng quát là:",A. uₙ = n² | B. uₙ = 2n − 1 | C. uₙ = n(n + 1)/2 | D. uₙ = 3n − 2,A,1,60,"Đây là dãy các số chính phương: 1 = 1², 4 = 2², 9 = 3². Lưu ý dãy này không phải cấp số cộng cũng không phải cấp số nhân, vì hiệu và thương đều thay đổi."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,17,Toán,17,"Dãy số, cấp số cộng & cấp số nhân",2,Điền đáp án,Ba số lập thành cấp số cộng và có tổng bằng 15. Số ở giữa bằng bao nhiêu?,,5,1,60,"Với ba số lập cấp số cộng a, b, c ta luôn có 2b = a + c, nên tổng ba số bằng 3b. Từ 3b = 15 suy ra b = 5. Số ở giữa của một cấp số cộng luôn là trung bình cộng của cả bộ."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,18,Toán,18,Thống kê & xử lý số liệu,2,Trắc nghiệm,"Bốn tổ của một lớp có số học sinh lần lượt là 8; 10; 12; 10. Số học sinh trung bình của mỗi tổ là:",A. 10 | B. 9 | C. 11 | D. 40,A,1,60,"Tổng số học sinh là 8 + 10 + 12 + 10 = 40, chia cho 4 tổ được 10 học sinh mỗi tổ."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,19,Toán,19,Thống kê & xử lý số liệu,2,Trắc nghiệm,"Khoảng biến thiên của mẫu số liệu 12; 5; 20; 8 bằng:","A. 15 | B. 11,25 | C. 8 | D. 20",A,1,60,Khoảng biến thiên bằng giá trị lớn nhất trừ giá trị nhỏ nhất: 20 − 5 = 15.
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,20,Toán,20,Thống kê & xử lý số liệu,2,Trắc nghiệm,"Doanh thu bốn quý của một doanh nghiệp lần lượt là 120; 150; 180; 210 (tỉ đồng). Doanh thu quý IV tăng bao nhiêu phần trăm so với quý I?","A. 75% | B. 42,9% | C. 90% | D. 175%",A,1,60,"Mức tăng tương đối = (210 − 120)/120 = 90/120 = 0,75 = 75%."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,21,Toán,21,Thống kê & xử lý số liệu,2,Trắc nghiệm,"Trung vị của mẫu số liệu 3; 5; 8; 10 là:","A. 6,5 | B. 5 | C. 8 | D. 6",A,1,60,"Mẫu đã sắp xếp và có 4 giá trị (chẵn), nên trung vị là trung bình cộng hai giá trị ở giữa: (5 + 8)/2 = 6,5."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,22,Toán,22,"Hàm số, phương trình & bất phương trình",3,Trắc nghiệm,Tập xác định của hàm số y = √(x − 2)/(x − 5) là:,"A. [2; 5) ∪ (5; +∞) | B. (2; +∞) | C. [2; +∞) | D. ℝ \ {5}",A,1,90,Cần đồng thời x − 2 ≥ 0 để căn xác định và x − 5 ≠ 0 để mẫu khác 0. Kết hợp được x ≥ 2 và x ≠ 5.
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,23,Toán,23,"Hàm số, phương trình & bất phương trình",3,Trắc nghiệm,Tập nghiệm của bất phương trình (x − 1)(x + 3) < 0 là:,"A. (−3; 1) | B. (−∞; −3) ∪ (1; +∞) | C. (1; 3) | D. (−1; 3)",A,1,90,"Tam thức có hai nghiệm −3 và 1, hệ số a = 1 > 0 nên biểu thức mang dấu âm ở khoảng giữa hai nghiệm. Quy tắc chung: trong trái, ngoài cùng dấu với a."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,24,Toán,24,"Hàm số, phương trình & bất phương trình",3,Điền đáp án,Tìm giá trị nguyên nhỏ nhất của m để phương trình x² − 2(m + 1)x + m² + 3 = 0 có hai nghiệm phân biệt.,,2,1,90,Δ' = (m + 1)² − (m² + 3) = 2m − 2. Hai nghiệm phân biệt khi Δ' > 0 ⟺ m > 1. Giá trị nguyên nhỏ nhất là m = 2.
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,25,Toán,25,"Hàm số, phương trình & bất phương trình",3,Trắc nghiệm,"Cho hai số thực x, y thỏa mãn x + y = 7 và xy = 12. Giá trị của x² + y² bằng:",A. 25 | B. 37 | C. 49 | D. 13,A,1,90,x² + y² = (x + y)² − 2xy = 49 − 24 = 25.
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,26,Toán,26,"Hàm số, phương trình & bất phương trình",3,Trắc nghiệm,Tọa độ đỉnh của parabol y = x² − 2x − 3 là:,"A. (1; −4) | B. (−1; 0) | C. (1; −3) | D. (2; −3)",A,1,90,"Hoành độ đỉnh x = −b/(2a) = 2/2 = 1. Thay vào hàm số: y = 1 − 2 − 3 = −4. Vậy đỉnh là (1; −4)."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,27,Toán,27,"Hàm số, phương trình & bất phương trình",3,Điền đáp án,"Gọi x₁, x₂ là hai nghiệm của phương trình x² − 5x + 6 = 0. Giá trị của x₁³ + x₂³ bằng bao nhiêu?",,35,1,90,"Theo Viète: x₁ + x₂ = 5, x₁x₂ = 6. Dùng hằng đẳng thức x₁³ + x₂³ = (x₁ + x₂)³ − 3x₁x₂(x₁ + x₂) = 125 − 3 × 6 × 5 = 35. Có thể kiểm lại bằng hai nghiệm 2 và 3: 8 + 27 = 35."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,28,Toán,28,Số học & tỉ lệ phần trăm,3,Trắc nghiệm,Trộn 3 kg gạo giá 40 nghìn đồng/kg với 2 kg gạo giá 65 nghìn đồng/kg. Giá trung bình của hỗn hợp là:,"A. 50 nghìn đồng/kg | B. 52,5 nghìn đồng/kg | C. 48 nghìn đồng/kg | D. 55 nghìn đồng/kg",A,1,90,"Tổng tiền = 3 × 40 + 2 × 65 = 120 + 130 = 250 nghìn đồng cho 5 kg, nên giá trung bình là 250 : 5 = 50 nghìn đồng/kg."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,29,Toán,29,Số học & tỉ lệ phần trăm,3,Điền đáp án,"Người thợ A làm xong một công việc trong 6 giờ, người thợ B làm xong công việc đó trong 12 giờ. Nếu cùng làm thì sau bao nhiêu giờ họ hoàn thành công việc?",,4,1,90,Năng suất cộng được: 1/6 + 1/12 = 3/12 = 1/4 công việc mỗi giờ. Vậy cần 4 giờ.
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,30,Toán,30,Số học & tỉ lệ phần trăm,3,Trắc nghiệm,Có 200 g dung dịch chứa 15% muối. Cần thêm bao nhiêu gam muối nguyên chất để thu được dung dịch 20%?,"A. 12,5 g | B. 10 g | C. 12 g | D. 15 g",A,1,90,"Lượng muối ban đầu: 200 × 15% = 30 g. Thêm x gam muối thì cả tử và mẫu đều tăng: (30 + x)/(200 + x) = 0,2 ⟹ 30 + x = 40 + 0,2x ⟹ 0,8x = 10 ⟹ x = 12,5 g."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,31,Toán,31,Số học & tỉ lệ phần trăm,3,Trắc nghiệm,Một ô tô đi từ A đến B với vận tốc 60 km/h rồi quay về A với vận tốc 40 km/h. Vận tốc trung bình của cả hành trình là:,A. 48 km/h | B. 50 km/h | C. 52 km/h | D. 45 km/h,A,1,90,"Vận tốc trung bình bằng tổng quãng đường chia tổng thời gian, không phải trung bình cộng hai vận tốc. Gọi quãng đường AB là s: thời gian = s/60 + s/40 = s/24, nên vận tốc trung bình = 2s : (s/24) = 48 km/h."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,32,Toán,32,"Đạo hàm, tích phân & khảo sát hàm số",3,Trắc nghiệm,Hàm số y = x⁴ − 2x² có bao nhiêu điểm cực trị?,A. 3 | B. 1 | C. 2 | D. 0,A,1,90,"y' = 4x³ − 4x = 4x(x² − 1) có ba nghiệm phân biệt x = −1, 0, 1, và đạo hàm đổi dấu qua cả ba nghiệm nên hàm có 3 điểm cực trị."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,33,Toán,33,"Đạo hàm, tích phân & khảo sát hàm số",3,Trắc nghiệm,Tính tích phân ∫₀¹ (3x² + 2x) dx.,A. 2 | B. 3 | C. 1 | D. 5/2,A,1,90,Nguyên hàm là x³ + x². Thay cận: (1 + 1) − (0 + 0) = 2.
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,34,Toán,34,"Đạo hàm, tích phân & khảo sát hàm số",3,Điền đáp án,"Giá trị lớn nhất của hàm số f(x) = −x² + 4x + 1 trên đoạn [0; 3] bằng bao nhiêu?",,5,1,90,"f'(x) = −2x + 4 = 0 ⟹ x = 2 ∈ [0; 3]. So sánh f(0) = 1, f(2) = 5, f(3) = 4 ⟹ giá trị lớn nhất là 5."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,35,Toán,35,"Đạo hàm, tích phân & khảo sát hàm số",3,Trắc nghiệm,Hàm số y = x³ − 3x² + 2 đồng biến trên khoảng nào sau đây?,"A. (2; +∞) | B. (0; 2) | C. (−1; 1) | D. (0; +∞)",A,1,90,"y' = 3x² − 6x = 3x(x − 2), triệt tiêu tại x = 0 và x = 2. Hàm đồng biến khi y' > 0, tức trên (−∞; 0) và (2; +∞); nghịch biến trên (0; 2)."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,36,Toán,36,Tổ hợp & xác suất,3,Trắc nghiệm,Gieo đồng thời hai con xúc xắc cân đối. Xác suất để tổng số chấm không nhỏ hơn 11 là:,A. 1/12 | B. 1/18 | C. 1/6 | D. 1/9,A,1,90,"Tổng không nhỏ hơn 11 nghĩa là bằng 11 hoặc 12: các cặp (5,6), (6,5), (6,6) — 3 kết quả trong 36. Xác suất = 3/36 = 1/12."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,37,Toán,37,Tổ hợp & xác suất,3,Điền đáp án,"Từ các chữ số 1, 2, 3, 4, 5 lập được bao nhiêu số tự nhiên có ba chữ số đôi một khác nhau?",,60,1,90,Chọn có thứ tự 3 trong 5 chữ số: 5 × 4 × 3 = 60.
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,38,Toán,38,Hình học tọa độ,3,Trắc nghiệm,"Hai vectơ u(1; 2) và v(2; −1) có quan hệ:",A. Vuông góc với nhau | B. Cùng phương | C. Bằng nhau | D. Ngược hướng,A,1,90,Tích vô hướng u·v = 1×2 + 2×(−1) = 0. Tích vô hướng bằng 0 là điều kiện cần và đủ để hai vectơ khác không vuông góc.
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,39,Toán,39,Hình học tọa độ,3,Điền đáp án,"Trong không gian Oxyz cho A(2; −1; 3) và B(4; 3; 0). Biết AB = √a. Giá trị của a là bao nhiêu?",,29,1,90,AB² = (4 − 2)² + (3 + 1)² + (0 − 3)² = 4 + 16 + 9 = 29.
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,40,Toán,40,Mũ & logarit,3,Trắc nghiệm,Nghiệm của phương trình log₂(x − 1) + log₂(x + 1) = 3 là:,A. x = 3 | B. x = ±3 | C. x = 2 | D. x = 9,A,1,90,"Điều kiện x > 1. Cộng hai logarit cùng cơ số: log₂[(x − 1)(x + 1)] = 3 ⟹ x² − 1 = 8 ⟹ x² = 9 ⟹ x = ±3. Loại x = −3 vì không thỏa điều kiện, còn x = 3."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,41,Toán,41,Mũ & logarit,3,Trắc nghiệm,Tập nghiệm của bất phương trình 2^x > 8 là:,"A. (3; +∞) | B. (−∞; 3) | C. [3; +∞) | D. (0; 3)",A,1,90,"Viết 8 = 2³. Vì cơ số 2 > 1 nên hàm mũ đồng biến, bất phương trình giữ nguyên chiều: x > 3. Nếu cơ số nhỏ hơn 1 thì phải đổi chiều."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,42,Toán,42,Hình học phẳng & không gian,3,Trắc nghiệm,Mặt cầu có bán kính 3 cm. Diện tích mặt cầu bằng:,A. 36π cm² | B. 12π cm² | C. 9π cm² | D. 27π cm²,A,1,90,Diện tích mặt cầu S = 4πR² = 4π × 9 = 36π cm².
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,43,Toán,43,Hình học phẳng & không gian,3,Điền đáp án,Khối lập phương có thể tích 64 cm³. Diện tích toàn phần của nó bằng bao nhiêu cm²?,,96,1,90,Cạnh của khối lập phương là ∛64 = 4 cm. Diện tích toàn phần bằng 6 mặt vuông: 6 × 4² = 96 cm².
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,44,Toán,44,Hình học phẳng & không gian,3,Trắc nghiệm,Hai tam giác đồng dạng có tỉ số đồng dạng 2 : 3. Tỉ số diện tích của chúng là:,A. 4 : 9 | B. 2 : 3 | C. 8 : 27 | D. √2 : √3,A,1,90,Tỉ số diện tích của hai hình đồng dạng bằng bình phương tỉ số đồng dạng: (2/3)² = 4/9. Với thể tích thì lấy lũy thừa ba.
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,45,Toán,45,Hình học phẳng & không gian,3,Trắc nghiệm,Hình chóp tứ giác đều S.ABCD có cạnh đáy bằng a và cạnh bên bằng a√3. Thể tích khối chóp bằng:,A. a³√10 / 6 | B. a³√3 / 3 | C. a³√2 / 6 | D. a³√10 / 3,A,1,90,Nửa đường chéo đáy = a√2/2. Chiều cao h = √(3a² − a²/2) = √(5a²/2) = a√10/2. Thể tích V = (1/3) × a² × a√10/2 = a³√10/6.
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,46,Toán,46,Hình học phẳng & không gian,3,Điền đáp án,Một hình trụ có bán kính đáy 3 cm và chiều cao 5 cm. Diện tích xung quanh của hình trụ bằng kπ (cm²). Giá trị của k là bao nhiêu?,,30,1,90,S_xq = 2πrh = 2π × 3 × 5 = 30π. Vậy k = 30.
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,47,Toán,47,Hình học phẳng & không gian,3,Điền đáp án,Hình vuông có đường chéo dài 8 cm. Diện tích hình vuông bằng bao nhiêu cm²?,,32,1,90,"Với hình vuông, diện tích bằng nửa bình phương đường chéo: S = d²/2 = 64/2 = 32 cm². Cách khác: cạnh a = 8/√2 = 4√2, nên S = a² = 32."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,48,Toán,48,Thống kê & xử lý số liệu,3,Trắc nghiệm,"Để thể hiện sự chuyển dịch cơ cấu kinh tế của một vùng qua 5 năm liên tiếp, dạng biểu đồ thích hợp nhất là:",A. Biểu đồ miền | B. Biểu đồ tròn | C. Biểu đồ đường | D. Biểu đồ cột ghép,A,1,90,"Từ khóa ""cơ cấu"" kết hợp với từ 4 năm trở lên dẫn đến biểu đồ miền. Nếu chỉ 1 năm thì dùng biểu đồ tròn, từ 2 đến 3 năm thì dùng nhiều hình tròn."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,49,Toán,49,Thống kê & xử lý số liệu,3,Trắc nghiệm,"Sản lượng năm 2020 là 200 nghìn tấn, năm 2024 là 260 nghìn tấn. Sản lượng đã tăng bao nhiêu phần trăm?","A. 30% | B. 23,1% | C. 130% | D. 60%",A,1,90,Mức tăng tương đối = (260 − 200)/200 × 100% = 60/200 × 100% = 30%.
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,50,Toán,50,Thống kê & xử lý số liệu,4,Trắc nghiệm,"Độ lệch chuẩn của mẫu số liệu 2; 4; 4; 4; 5; 5; 7; 9 bằng:","A. 2 | B. 4 | C. √2 | D. 2,5",A,1,120,"Trung bình = 40/8 = 5. Tổng bình phương độ lệch = 9 + 1 + 1 + 1 + 0 + 0 + 4 + 16 = 32. Phương sai = 32/8 = 4, độ lệch chuẩn = √4 = 2."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,51,Văn,1,Ngữ pháp & lỗi sai trong câu,2,Trắc nghiệm,Câu nào dưới đây mắc lỗi thiếu chủ ngữ?,"A. Qua tác phẩm ""Chí Phèo"" đã cho thấy số phận bi thảm của người nông dân. | B. Tác phẩm ""Chí Phèo"" đã cho thấy số phận bi thảm của người nông dân. | C. Nam Cao đã cho thấy số phận bi thảm của người nông dân qua ""Chí Phèo"". | D. Số phận bi thảm của người nông dân hiện lên rõ nét trong ""Chí Phèo"".",A,1,60,"Cụm ""Qua tác phẩm Chí Phèo"" là trạng ngữ, nên câu A chỉ còn vị ngữ mà không có chủ ngữ. Sửa bằng cách bỏ ""Qua"" hoặc thêm chủ ngữ: ""Qua tác phẩm Chí Phèo, Nam Cao đã cho thấy...""."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,52,Văn,2,Ngữ pháp & lỗi sai trong câu,2,Trắc nghiệm,Câu nào dưới đây mắc lỗi dùng sai quan hệ từ?,A. Tuy trời mưa to nhưng vì đường ngập nên chúng tôi phải ở nhà. | B. Tuy trời mưa to nhưng chúng tôi vẫn đi học. | C. Vì trời mưa to nên chúng tôi phải ở nhà. | D. Nếu trời mưa to thì chúng tôi sẽ ở nhà.,A,1,60,"Câu A chồng hai cặp quan hệ từ trái nghĩa nhau: ""tuy… nhưng"" chỉ sự tương phản, còn ""vì… nên"" chỉ nguyên nhân — kết quả. Dùng đồng thời làm lô-gíc câu mâu thuẫn."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,53,Văn,3,Ngữ pháp & lỗi sai trong câu,2,Trắc nghiệm,"Câu ""Bạn Nam, học sinh giỏi nhất lớp, vừa đạt giải nhất thành phố."" có bộ phận in nghiêng ""học sinh giỏi nhất lớp"" là:",A. Thành phần phụ chú | B. Trạng ngữ | C. Chủ ngữ thứ hai | D. Vị ngữ,A,1,60,"Bộ phận nằm giữa hai dấu phẩy, bổ sung thông tin giải thích cho ""bạn Nam"" và có thể lược bỏ mà câu vẫn trọn nghĩa. Đó là thành phần phụ chú."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,54,Văn,4,Ngữ pháp & lỗi sai trong câu,2,Trắc nghiệm,Câu ghép nào sau đây có quan hệ nguyên nhân — kết quả?,"A. Vì chuẩn bị kỹ nên bạn ấy trình bày rất tự tin. | B. Bạn ấy vừa hát hay vừa vẽ đẹp. | C. Trời càng về khuya, sương càng dày. | D. Nếu chăm chỉ, em sẽ tiến bộ.",A,1,60,"Cặp quan hệ từ ""vì… nên"" biểu thị quan hệ nguyên nhân — kết quả. Câu B là quan hệ đồng thời, câu C là tăng tiến, câu D là điều kiện — giả thiết."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,55,Văn,5,"Tác giả, tác phẩm & giai đoạn văn học",2,Trắc nghiệm,"""Tuyên ngôn Độc lập"" của Hồ Chí Minh mở đầu bằng cách trích dẫn văn bản nào?",A. Tuyên ngôn Độc lập của Mĩ và Tuyên ngôn Nhân quyền và Dân quyền của Pháp. | B. Bình Ngô đại cáo của Nguyễn Trãi. | C. Hiến chương Liên hợp quốc. | D. Nam quốc sơn hà của Lý Thường Kiệt.,A,1,60,"Mở đầu bằng chính tuyên ngôn của hai nước ấy là một đòn lập luận sắc bén: lấy lí lẽ của đối phương làm căn cứ cho mình, khiến họ không thể phủ nhận."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,56,Văn,6,"Tác giả, tác phẩm & giai đoạn văn học",2,Trắc nghiệm,"Bài thơ ""Tây Tiến"" của Quang Dũng viết về đối tượng nào?",A. Người lính trong đoàn quân Tây Tiến thời kháng chiến chống Pháp. | B. Người nông dân vùng Tây Bắc trong cải cách ruộng đất. | C. Những người lính lái xe trên tuyến đường Trường Sơn. | D. Đoàn dân công hỏa tuyến trong chiến dịch Điện Biên Phủ.,A,1,60,"""Tây Tiến"" (1948) viết về đoàn quân Tây Tiến trong kháng chiến chống Pháp, nơi Quang Dũng từng là đại đội trưởng."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,57,Văn,7,"Tác giả, tác phẩm & giai đoạn văn học",2,Trắc nghiệm,"Bài thơ ""Việt Bắc"" của Tố Hữu được viết theo thể thơ nào?",A. Lục bát | B. Tự do | C. Thất ngôn bát cú | D. Song thất lục bát,A,1,60,"""Việt Bắc"" viết bằng thể lục bát, sử dụng lối đối đáp ""mình — ta"" quen thuộc của ca dao để nói chuyện chính trị — đây chính là nét đặc sắc của bài thơ."
DM-HSA-01-VL,Đề mẫu HSA365 số 01 — Vật lý,58,Văn,8,"Tác giả, tác phẩm & giai đoạn văn học",2,Trắc nghiệm,"Tùy bút ""Người lái đò Sông Đà"" của Nguyễn Tuân ca ngợi điều gì ở nhân vật ông lái đò?",A. Chất tài hoa nghệ sĩ trong lao động bình thường. | B. Tinh thần chiến đấu chống giặc ngoại xâm. | C. Lòng hiếu thảo với cha mẹ. | D. Sự giàu có nhờ nghề sông nước.,A,1,60,"Nguyễn Tuân nhìn con người ở phương diện tài hoa nghệ sĩ. Ông lái đò vượt thác được miêu tả như một nghệ sĩ điêu luyện, biến công việc mưu sinh thành một cuộc trình diễn tài nghệ."
