Mã phiếu,Loại phiếu,Mã loại,Phiếu lời giải,Phiếu hướng dẫn ôn chắc,Tiêu đề,Phần thi,Môn tự chọn,Chuyên đề,Giai đoạn,Cấp độ,Số câu,Thời gian (phút),Ngưỡng hoàn thành,Ngưỡng thành thạo,Điểm KN,Phiếu tiên quyết,Chặng 1,Chặng 1 (số câu),Chặng 2,Chặng 2 (số câu),Chặng 3,Chặng 3 (số câu),Mã câu hỏi,Mục tiêu,Đạt khi
PL-TOA-ARI-L2-002,Phiếu dạng bài & đọc vị,DB,LG-TOA-ARI-L2-002,HD-TOA-ARI,Phiếu dạng bài & đọc vị · Số học & tỉ lệ phần trăm · Cấp 2,Toán,,Số học & tỉ lệ phần trăm,1,2,10,13,70%,85%,60,PL-TOA-ARI-L2-001,Chặng 1 — Dấu hiệu nhận biết,3,Chặng 2 — Phân loại dạng,5,Chặng 3 — Dạng lai & dễ nhầm,2,q.alg.1 | q.seq.1 | q.geo.1 | q.cal.1 | q.exp.2 | q.com.1 | q.com.2 | q.sta.2 | q.seq.2 | q.geo.2,Rèn phản xạ nhìn đề là biết dạng. Đây là mắt xích bị bỏ qua nhiều nhất: người học biết cách giải nhưng không nhận ra khi nào thì dùng cách nào. Làm đúng dạng chuẩn mà không cần nhìn gợi ý.,Đọc xong đề trong 10 giây là nói được đây là dạng gì và sẽ đi theo hướng nào.
PL-TOA-ARI-L2-003,Phiếu kỹ năng & phương pháp,KN,LG-TOA-ARI-L2-003,HD-TOA-ARI,Phiếu kỹ năng & phương pháp · Số học & tỉ lệ phần trăm · Cấp 2,Toán,,Số học & tỉ lệ phần trăm,1,2,10,12,70%,85%,66,PL-TOA-ARI-L2-002,Chặng 1 — Quy trình chuẩn,3,Chặng 2 — Luyện thành thạo,5,Chặng 3 — Rút gọn thao tác,2,q.coo.1 | q.coo.2 | q.cal.1 | q.ari.2 | q.ari.3 | q.alg.2 | q.alg.3 | q.seq.2 | q.alg.4 | q.seq.1,"Chuẩn hóa quy trình giải: đi đúng thứ tự bước, không bỏ bước, và rút gọn được thao tác thừa. Làm đúng dạng chuẩn mà không cần nhìn gợi ý.",Làm được trong thời gian mục tiêu mà không phải nghĩ xem bước tiếp theo là gì.
PL-TOA-ARI-L2-004,Phiếu luyện nâng cao,NC,LG-TOA-ARI-L2-004,HD-TOA-ARI,Phiếu luyện nâng cao · Số học & tỉ lệ phần trăm · Cấp 2,Toán,,Số học & tỉ lệ phần trăm,1,2,10,12,70%,88%,84,PL-TOA-ARI-L2-003,Chặng 1 — Khởi động,3,Chặng 2 — Nhiều bước,5,Chặng 3 — Câu phân loại,2,q.com.2 | q.sta.2 | q.ari.2 | q.sta.3 | q.ari.1 | q.alg.1 | q.alg.4 | q.seq.1 | q.com.3 | q.geo.1,"Xử lý câu nhiều bước, có bẫy và có yếu tố phân loại — nhóm câu quyết định khoảng cách giữa điểm khá và điểm dẫn đầu. Làm đúng dạng chuẩn mà không cần nhìn gợi ý.","Nhận ra bẫy trước khi mắc, thay vì nhận ra sau khi xem đáp án."
PL-TOA-ARI-L2-005,Phiếu ôn thi,OT,LG-TOA-ARI-L2-005,HD-TOA-ARI,Phiếu ôn thi · Số học & tỉ lệ phần trăm · Cấp 2,Toán,,Số học & tỉ lệ phần trăm,1,2,10,11,70%,85%,72,PL-TOA-ARI-L2-004,Chặng 1 — Rà kiến thức,3,Chặng 2 — Trộn dạng,5,Chặng 3 — Mô phỏng đề,2,q.sta.2 | q.ari.2 | q.ari.3 | q.geo.3 | q.coo.3 | q.cal.2 | q.cal.3 | q.exp.1 | q.exp.2 | q.com.1,"Trộn mọi dạng của chuyên đề theo đúng phân bố của đề thật, để kiểm tra phản xạ nhận diện khi không biết trước dạng bài. Làm đúng dạng chuẩn mà không cần nhìn gợi ý.","Kết quả ở phiếu ôn thi không thấp hơn phiếu kỹ năng — nghĩa là bạn nhận dạng được, không chỉ giải được."
PL-TOA-ARI-L2-006,Phiếu lý thuyết,LT,LG-TOA-ARI-L2-006,HD-TOA-ARI,Phiếu lý thuyết · Số học & tỉ lệ phần trăm · Cấp 2,Toán,,Số học & tỉ lệ phần trăm,1,2,10,15,70%,85%,48,PL-TOA-ARI-L2-005,Chặng 1 — Khái niệm,3,Chặng 2 — Công thức,5,Chặng 3 — Điều kiện & ngoại lệ,2,q.alg.2 | q.alg.3 | q.seq.2 | q.coo.3 | q.cal.2 | q.cal.3 | q.exp.3 | q.com.3 | q.cal.4 | q.com.4,"Kiểm tra và chốt lại phần nền: định nghĩa, công thức, điều kiện áp dụng. Không phải để làm khó, mà để không còn chỗ hổng nào ở tầng dưới cùng. Làm đúng dạng chuẩn mà không cần nhìn gợi ý.",Viết lại được công thức và nêu được điều kiện áp dụng mà không cần nhìn tài liệu.
PL-TOA-ARI-L2-007,Phiếu dạng bài & đọc vị,DB,LG-TOA-ARI-L2-007,HD-TOA-ARI,Phiếu dạng bài & đọc vị · Số học & tỉ lệ phần trăm · Cấp 2,Toán,,Số học & tỉ lệ phần trăm,1,2,10,13,70%,85%,60,PL-TOA-ARI-L2-006,Chặng 1 — Dấu hiệu nhận biết,3,Chặng 2 — Phân loại dạng,5,Chặng 3 — Dạng lai & dễ nhầm,2,q.geo.2 | q.geo.3 | q.coo.3 | q.exp.3 | q.com.3 | q.sta.3 | q.alg.4 | q.cal.4 | q.ari.1 | q.alg.1,Rèn phản xạ nhìn đề là biết dạng. Đây là mắt xích bị bỏ qua nhiều nhất: người học biết cách giải nhưng không nhận ra khi nào thì dùng cách nào. Làm đúng dạng chuẩn mà không cần nhìn gợi ý.,Đọc xong đề trong 10 giây là nói được đây là dạng gì và sẽ đi theo hướng nào.
PL-TOA-ARI-L2-008,Phiếu kỹ năng & phương pháp,KN,LG-TOA-ARI-L2-008,HD-TOA-ARI,Phiếu kỹ năng & phương pháp · Số học & tỉ lệ phần trăm · Cấp 2,Toán,,Số học & tỉ lệ phần trăm,1,2,10,12,70%,85%,66,PL-TOA-ARI-L2-007,Chặng 1 — Quy trình chuẩn,3,Chặng 2 — Luyện thành thạo,5,Chặng 3 — Rút gọn thao tác,2,q.cal.2 | q.cal.3 | q.exp.3 | q.alg.4 | q.cal.4 | q.com.4 | q.sta.4 | q.ari.1 | q.alg.3 | q.seq.2,"Chuẩn hóa quy trình giải: đi đúng thứ tự bước, không bỏ bước, và rút gọn được thao tác thừa. Làm đúng dạng chuẩn mà không cần nhìn gợi ý.",Làm được trong thời gian mục tiêu mà không phải nghĩ xem bước tiếp theo là gì.
PL-TOA-ARI-L2-009,Phiếu luyện nâng cao,NC,LG-TOA-ARI-L2-009,HD-TOA-ARI,Phiếu luyện nâng cao · Số học & tỉ lệ phần trăm · Cấp 2,Toán,,Số học & tỉ lệ phần trăm,1,2,10,12,70%,88%,84,PL-TOA-ARI-L2-008,Chặng 1 — Khởi động,3,Chặng 2 — Nhiều bước,5,Chặng 3 — Câu phân loại,2,q.sta.1 | q.sta.3 | q.alg.4 | q.exp.1 | q.ari.2 | q.ari.3 | q.alg.2 | q.alg.3 | q.coo.3 | q.cal.2,"Xử lý câu nhiều bước, có bẫy và có yếu tố phân loại — nhóm câu quyết định khoảng cách giữa điểm khá và điểm dẫn đầu. Làm đúng dạng chuẩn mà không cần nhìn gợi ý.","Nhận ra bẫy trước khi mắc, thay vì nhận ra sau khi xem đáp án."
PL-TOA-ARI-L2-010,Phiếu ôn thi,OT,LG-TOA-ARI-L2-010,HD-TOA-ARI,Phiếu ôn thi · Số học & tỉ lệ phần trăm · Cấp 2,Toán,,Số học & tỉ lệ phần trăm,1,2,10,11,70%,85%,72,PL-TOA-ARI-L2-009,Chặng 1 — Rà kiến thức,3,Chặng 2 — Trộn dạng,5,Chặng 3 — Mô phỏng đề,2,q.cal.4 | q.com.4 | q.sta.4 | q.seq.1 | q.geo.1 | q.coo.1 | q.coo.2 | q.cal.1 | q.cal.3 | q.exp.3,"Trộn mọi dạng của chuyên đề theo đúng phân bố của đề thật, để kiểm tra phản xạ nhận diện khi không biết trước dạng bài. Làm đúng dạng chuẩn mà không cần nhìn gợi ý.","Kết quả ở phiếu ôn thi không thấp hơn phiếu kỹ năng — nghĩa là bạn nhận dạng được, không chỉ giải được."
PL-TOA-ARI-L2-011,Phiếu lý thuyết,LT,LG-TOA-ARI-L2-011,HD-TOA-ARI,Phiếu lý thuyết · Số học & tỉ lệ phần trăm · Cấp 2,Toán,,Số học & tỉ lệ phần trăm,1,2,10,15,70%,85%,48,PL-TOA-ARI-L2-010,Chặng 1 — Khái niệm,3,Chặng 2 — Công thức,5,Chặng 3 — Điều kiện & ngoại lệ,2,q.exp.1 | q.sta.1 | q.ari.1 | q.cal.1 | q.exp.2 | q.com.1 | q.com.2 | q.sta.2 | q.coo.3 | q.cal.2,"Kiểm tra và chốt lại phần nền: định nghĩa, công thức, điều kiện áp dụng. Không phải để làm khó, mà để không còn chỗ hổng nào ở tầng dưới cùng. Làm đúng dạng chuẩn mà không cần nhìn gợi ý.",Viết lại được công thức và nêu được điều kiện áp dụng mà không cần nhìn tài liệu.
PL-TOA-ARI-L2-012,Phiếu thi,PT,LG-TOA-ARI-L2-012,HD-TOA-ARI,Phiếu thi · Số học & tỉ lệ phần trăm · Cấp 2,Toán,,Số học & tỉ lệ phần trăm,1,2,10,10,70%,90%,108,PL-TOA-ARI-L2-011,Chặng 1 — Phần dễ ăn điểm,3,Chặng 2 — Phần lõi,5,Chặng 3 — Phần phân loại,2,q.geo.1 | q.coo.1 | q.coo.2 | q.cal.2 | q.cal.3 | q.exp.3 | q.com.3 | q.sta.3 | q.cal.1 | q.exp.2,"Bài kiểm tra chốt chuyên đề ở cấp độ này, làm trong điều kiện thời gian như phòng thi. Làm đúng dạng chuẩn mà không cần nhìn gợi ý.","Đạt 90% trong đúng thời gian quy định, không cần đến phút bù."
PL-TOA-ARI-L3-001,Phiếu lý thuyết,LT,LG-TOA-ARI-L3-001,HD-TOA-ARI,Phiếu lý thuyết · Số học & tỉ lệ phần trăm · Cấp 3,Toán,,Số học & tỉ lệ phần trăm,2,3,12,20,70%,85%,72,PL-TOA-ARI-L2-012,Chặng 1 — Khái niệm,3,Chặng 2 — Công thức,6,Chặng 3 — Điều kiện & ngoại lệ,3,q.exp.1 | q.sta.1 | q.ari.1 | q.geo.1 | q.coo.1 | q.coo.2 | q.cal.1 | q.exp.2 | q.com.1 | q.seq.2 | q.geo.2 | q.geo.3,"Kiểm tra và chốt lại phần nền: định nghĩa, công thức, điều kiện áp dụng. Không phải để làm khó, mà để không còn chỗ hổng nào ở tầng dưới cùng. Ghép nhiều bước và tránh các bẫy quen thuộc.",Viết lại được công thức và nêu được điều kiện áp dụng mà không cần nhìn tài liệu.
PL-TOA-ARI-L3-002,Phiếu dạng bài & đọc vị,DB,LG-TOA-ARI-L3-002,HD-TOA-ARI,Phiếu dạng bài & đọc vị · Số học & tỉ lệ phần trăm · Cấp 3,Toán,,Số học & tỉ lệ phần trăm,2,3,12,17,70%,85%,90,PL-TOA-ARI-L3-001,Chặng 1 — Dấu hiệu nhận biết,3,Chặng 2 — Phân loại dạng,6,Chặng 3 — Dạng lai & dễ nhầm,3,q.alg.1 | q.seq.1 | q.geo.1 | q.com.1 | q.com.2 | q.sta.2 | q.ari.2 | q.ari.3 | q.alg.2 | q.exp.3 | q.com.3 | q.sta.3,Rèn phản xạ nhìn đề là biết dạng. Đây là mắt xích bị bỏ qua nhiều nhất: người học biết cách giải nhưng không nhận ra khi nào thì dùng cách nào. Ghép nhiều bước và tránh các bẫy quen thuộc.,Đọc xong đề trong 10 giây là nói được đây là dạng gì và sẽ đi theo hướng nào.
PL-TOA-ARI-L3-003,Phiếu kỹ năng & phương pháp,KN,LG-TOA-ARI-L3-003,HD-TOA-ARI,Phiếu kỹ năng & phương pháp · Số học & tỉ lệ phần trăm · Cấp 3,Toán,,Số học & tỉ lệ phần trăm,2,3,12,15,70%,85%,99,PL-TOA-ARI-L3-002,Chặng 1 — Quy trình chuẩn,3,Chặng 2 — Luyện thành thạo,6,Chặng 3 — Rút gọn thao tác,3,q.cal.1 | q.exp.2 | q.com.1 | q.cal.2 | q.cal.3 | q.exp.3 | q.com.3 | q.sta.3 | q.ari.1 | q.geo.3 | q.coo.3 | q.alg.1,"Chuẩn hóa quy trình giải: đi đúng thứ tự bước, không bỏ bước, và rút gọn được thao tác thừa. Ghép nhiều bước và tránh các bẫy quen thuộc.",Làm được trong thời gian mục tiêu mà không phải nghĩ xem bước tiếp theo là gì.
PL-TOA-ARI-L3-004,Phiếu luyện nâng cao,NC,LG-TOA-ARI-L3-004,HD-TOA-ARI,Phiếu luyện nâng cao · Số học & tỉ lệ phần trăm · Cấp 3,Toán,,Số học & tỉ lệ phần trăm,2,3,12,15,70%,88%,126,PL-TOA-ARI-L3-003,Chặng 1 — Khởi động,3,Chặng 2 — Nhiều bước,6,Chặng 3 — Câu phân loại,3,q.cal.3 | q.exp.3 | q.com.3 | q.coo.3 | q.cal.2 | q.sta.3 | q.ari.1 | q.alg.1 | q.seq.1 | q.coo.2 | q.cal.1 | q.exp.2,"Xử lý câu nhiều bước, có bẫy và có yếu tố phân loại — nhóm câu quyết định khoảng cách giữa điểm khá và điểm dẫn đầu. Ghép nhiều bước và tránh các bẫy quen thuộc.","Nhận ra bẫy trước khi mắc, thay vì nhận ra sau khi xem đáp án."
PL-TOA-ARI-L3-005,Phiếu ôn thi,OT,LG-TOA-ARI-L3-005,HD-TOA-ARI,Phiếu ôn thi · Số học & tỉ lệ phần trăm · Cấp 3,Toán,,Số học & tỉ lệ phần trăm,2,3,12,14,70%,85%,108,PL-TOA-ARI-L3-004,Chặng 1 — Rà kiến thức,3,Chặng 2 — Trộn dạng,6,Chặng 3 — Mô phỏng đề,3,q.ari.3 | q.alg.2 | q.alg.3 | q.geo.1 | q.coo.1 | q.coo.2 | q.cal.1 | q.cal.4 | q.exp.2 | q.com.1 | q.com.2 | q.sta.2,"Trộn mọi dạng của chuyên đề theo đúng phân bố của đề thật, để kiểm tra phản xạ nhận diện khi không biết trước dạng bài. Ghép nhiều bước và tránh các bẫy quen thuộc.","Kết quả ở phiếu ôn thi không thấp hơn phiếu kỹ năng — nghĩa là bạn nhận dạng được, không chỉ giải được."
PL-TOA-ARI-L3-006,Phiếu lý thuyết,LT,LG-TOA-ARI-L3-006,HD-TOA-ARI,Phiếu lý thuyết · Số học & tỉ lệ phần trăm · Cấp 3,Toán,,Số học & tỉ lệ phần trăm,2,3,12,20,70%,85%,72,PL-TOA-ARI-L3-005,Chặng 1 — Khái niệm,3,Chặng 2 — Công thức,6,Chặng 3 — Điều kiện & ngoại lệ,3,q.alg.2 | q.alg.3 | q.seq.2 | q.cal.3 | q.exp.1 | q.exp.3 | q.com.3 | q.sta.1 | q.sta.3 | q.sta.2 | q.sta.4 | q.ari.2,"Kiểm tra và chốt lại phần nền: định nghĩa, công thức, điều kiện áp dụng. Không phải để làm khó, mà để không còn chỗ hổng nào ở tầng dưới cùng. Ghép nhiều bước và tránh các bẫy quen thuộc.",Viết lại được công thức và nêu được điều kiện áp dụng mà không cần nhìn tài liệu.
PL-TOA-ARI-L3-007,Phiếu dạng bài & đọc vị,DB,LG-TOA-ARI-L3-007,HD-TOA-ARI,Phiếu dạng bài & đọc vị · Số học & tỉ lệ phần trăm · Cấp 3,Toán,,Số học & tỉ lệ phần trăm,2,3,12,17,70%,85%,90,PL-TOA-ARI-L3-006,Chặng 1 — Dấu hiệu nhận biết,3,Chặng 2 — Phân loại dạng,6,Chặng 3 — Dạng lai & dễ nhầm,3,q.geo.2 | q.geo.3 | q.coo.3 | q.com.3 | q.sta.1 | q.sta.3 | q.alg.4 | q.cal.4 | q.com.4 | q.ari.3 | q.alg.2 | q.alg.3,Rèn phản xạ nhìn đề là biết dạng. Đây là mắt xích bị bỏ qua nhiều nhất: người học biết cách giải nhưng không nhận ra khi nào thì dùng cách nào. Ghép nhiều bước và tránh các bẫy quen thuộc.,Đọc xong đề trong 10 giây là nói được đây là dạng gì và sẽ đi theo hướng nào.
PL-TOA-ARI-L3-008,Phiếu kỹ năng & phương pháp,KN,LG-TOA-ARI-L3-008,HD-TOA-ARI,Phiếu kỹ năng & phương pháp · Số học & tỉ lệ phần trăm · Cấp 3,Toán,,Số học & tỉ lệ phần trăm,2,3,12,15,70%,85%,99,PL-TOA-ARI-L3-007,Chặng 1 — Quy trình chuẩn,3,Chặng 2 — Luyện thành thạo,6,Chặng 3 — Rút gọn thao tác,3,q.exp.1 | q.exp.3 | q.com.3 | q.com.4 | q.sta.2 | q.sta.4 | q.sta.1 | q.ari.2 | q.ari.3 | q.seq.2 | q.geo.2 | q.geo.3,"Chuẩn hóa quy trình giải: đi đúng thứ tự bước, không bỏ bước, và rút gọn được thao tác thừa. Ghép nhiều bước và tránh các bẫy quen thuộc.",Làm được trong thời gian mục tiêu mà không phải nghĩ xem bước tiếp theo là gì.
PL-TOA-ARI-L3-009,Phiếu luyện nâng cao,NC,LG-TOA-ARI-L3-009,HD-TOA-ARI,Phiếu luyện nâng cao · Số học & tỉ lệ phần trăm · Cấp 3,Toán,,Số học & tỉ lệ phần trăm,2,3,12,15,70%,88%,126,PL-TOA-ARI-L3-008,Chặng 1 — Khởi động,3,Chặng 2 — Nhiều bước,6,Chặng 3 — Câu phân loại,3,q.com.2 | q.com.4 | q.sta.2 | q.sta.1 | q.alg.4 | q.cal.4 | q.sta.4 | q.ari.2 | q.ari.3 | q.cal.3 | q.exp.3 | q.com.3,"Xử lý câu nhiều bước, có bẫy và có yếu tố phân loại — nhóm câu quyết định khoảng cách giữa điểm khá và điểm dẫn đầu. Ghép nhiều bước và tránh các bẫy quen thuộc.","Nhận ra bẫy trước khi mắc, thay vì nhận ra sau khi xem đáp án."
PL-TOA-ARI-L3-010,Phiếu ôn thi,OT,LG-TOA-ARI-L3-010,HD-TOA-ARI,Phiếu ôn thi · Số học & tỉ lệ phần trăm · Cấp 3,Toán,,Số học & tỉ lệ phần trăm,2,3,12,14,70%,85%,108,PL-TOA-ARI-L3-009,Chặng 1 — Rà kiến thức,3,Chặng 2 — Trộn dạng,6,Chặng 3 — Mô phỏng đề,3,q.cal.4 | q.com.4 | q.sta.4 | q.alg.2 | q.alg.3 | q.seq.2 | q.geo.2 | q.geo.3 | q.coo.3 | q.seq.1 | q.geo.1 | q.coo.1,"Trộn mọi dạng của chuyên đề theo đúng phân bố của đề thật, để kiểm tra phản xạ nhận diện khi không biết trước dạng bài. Ghép nhiều bước và tránh các bẫy quen thuộc.","Kết quả ở phiếu ôn thi không thấp hơn phiếu kỹ năng — nghĩa là bạn nhận dạng được, không chỉ giải được."
