Mã nhiệm vụ,Phiếu luyện,Tiêu đề,Phần thi,Chuyên đề,Giai đoạn,Cấp độ,Dạng,Điểm KN,Lời giao việc,Ràng buộc
NV-0015,PL-TOA-ARI-L2-006,Phiếu lý thuyết: Số học & tỉ lệ phần trăm — cấp 2,Toán,Số học & tỉ lệ phần trăm,1,2,Phiếu lý thuyết,48,"Hoàn thành 10 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 15 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.",Không giới hạn thời gian. Sai câu nào thì đọc ngay phần lý thuyết của câu đó trước khi đi tiếp.
NV-0016,PL-TOA-ARI-L2-007,Phiếu dạng bài & đọc vị: Số học & tỉ lệ phần trăm — cấp 2,Toán,Số học & tỉ lệ phần trăm,1,2,Phiếu dạng bài & đọc vị,60,"Hoàn thành 10 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 13 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.","Với mỗi câu, gọi tên dạng bài trong đầu TRƯỚC khi tính. Nếu không gọi được tên, đó là câu cần đánh dấu."
NV-0017,PL-TOA-ARI-L2-008,Phiếu kỹ năng & phương pháp: Số học & tỉ lệ phần trăm — cấp 2,Toán,Số học & tỉ lệ phần trăm,1,2,Phiếu kỹ năng & phương pháp,66,"Hoàn thành 10 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 12 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.",Làm đủ ba chặng trong một lượt. Ghi ra quy trình từng bước ở chặng 1 rồi bám theo đúng quy trình đó.
NV-0018,PL-TOA-ARI-L2-009,Phiếu luyện nâng cao: Số học & tỉ lệ phần trăm — cấp 2,Toán,Số học & tỉ lệ phần trăm,1,2,Phiếu luyện nâng cao,84,"Hoàn thành 10 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 12 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.",Đạt từ 85% mới tính là vượt. Mỗi câu sai bắt buộc đọc phần bẫy trong phiếu lời giải.
NV-0019,PL-TOA-ARI-L2-010,Phiếu ôn thi: Số học & tỉ lệ phần trăm — cấp 2,Toán,Số học & tỉ lệ phần trăm,1,2,Phiếu ôn thi,72,"Hoàn thành 10 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 11 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.",Không xem lại lý thuyết trong lúc làm. Sai ở đâu thì đó chính là chỗ chưa chắc thật.
NV-0020,PL-TOA-ARI-L2-011,Phiếu lý thuyết: Số học & tỉ lệ phần trăm — cấp 2,Toán,Số học & tỉ lệ phần trăm,1,2,Phiếu lý thuyết,48,"Hoàn thành 10 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 15 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.",Không giới hạn thời gian. Sai câu nào thì đọc ngay phần lý thuyết của câu đó trước khi đi tiếp.
NV-0021,PL-TOA-ARI-L2-012,Phiếu thi: Số học & tỉ lệ phần trăm — cấp 2,Toán,Số học & tỉ lệ phần trăm,1,2,Phiếu thi,108,"Hoàn thành 10 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 10 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 7 câu là hoàn thành; đúng từ 9 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 2: Làm đúng dạng chuẩn mà không cần nhìn gợi ý.",Phải đạt từ 90% để mở khóa cấp độ tiếp theo của tuyến này. Không tạm dừng giữa chừng.
NV-0022,PL-TOA-ARI-L3-001,Phiếu lý thuyết: Số học & tỉ lệ phần trăm — cấp 3,Toán,Số học & tỉ lệ phần trăm,2,3,Phiếu lý thuyết,72,"Hoàn thành 12 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 20 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 3: Ghép nhiều bước và tránh các bẫy quen thuộc.",Không giới hạn thời gian. Sai câu nào thì đọc ngay phần lý thuyết của câu đó trước khi đi tiếp.
NV-0023,PL-TOA-ARI-L3-002,Phiếu dạng bài & đọc vị: Số học & tỉ lệ phần trăm — cấp 3,Toán,Số học & tỉ lệ phần trăm,2,3,Phiếu dạng bài & đọc vị,90,"Hoàn thành 12 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 17 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 3: Ghép nhiều bước và tránh các bẫy quen thuộc.","Với mỗi câu, gọi tên dạng bài trong đầu TRƯỚC khi tính. Nếu không gọi được tên, đó là câu cần đánh dấu."
NV-0024,PL-TOA-ARI-L3-003,Phiếu kỹ năng & phương pháp: Số học & tỉ lệ phần trăm — cấp 3,Toán,Số học & tỉ lệ phần trăm,2,3,Phiếu kỹ năng & phương pháp,99,"Hoàn thành 12 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 15 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 3: Ghép nhiều bước và tránh các bẫy quen thuộc.",Làm đủ ba chặng trong một lượt. Ghi ra quy trình từng bước ở chặng 1 rồi bám theo đúng quy trình đó.
NV-0025,PL-TOA-ARI-L3-004,Phiếu luyện nâng cao: Số học & tỉ lệ phần trăm — cấp 3,Toán,Số học & tỉ lệ phần trăm,2,3,Phiếu luyện nâng cao,126,"Hoàn thành 12 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 15 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 3: Ghép nhiều bước và tránh các bẫy quen thuộc.",Đạt từ 85% mới tính là vượt. Mỗi câu sai bắt buộc đọc phần bẫy trong phiếu lời giải.
NV-0026,PL-TOA-ARI-L3-005,Phiếu ôn thi: Số học & tỉ lệ phần trăm — cấp 3,Toán,Số học & tỉ lệ phần trăm,2,3,Phiếu ôn thi,108,"Hoàn thành 12 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 14 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 3: Ghép nhiều bước và tránh các bẫy quen thuộc.",Không xem lại lý thuyết trong lúc làm. Sai ở đâu thì đó chính là chỗ chưa chắc thật.
NV-0027,PL-TOA-ARI-L3-006,Phiếu lý thuyết: Số học & tỉ lệ phần trăm — cấp 3,Toán,Số học & tỉ lệ phần trăm,2,3,Phiếu lý thuyết,72,"Hoàn thành 12 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 20 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 3: Ghép nhiều bước và tránh các bẫy quen thuộc.",Không giới hạn thời gian. Sai câu nào thì đọc ngay phần lý thuyết của câu đó trước khi đi tiếp.
NV-0028,PL-TOA-ARI-L3-007,Phiếu dạng bài & đọc vị: Số học & tỉ lệ phần trăm — cấp 3,Toán,Số học & tỉ lệ phần trăm,2,3,Phiếu dạng bài & đọc vị,90,"Hoàn thành 12 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 17 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 3: Ghép nhiều bước và tránh các bẫy quen thuộc.","Với mỗi câu, gọi tên dạng bài trong đầu TRƯỚC khi tính. Nếu không gọi được tên, đó là câu cần đánh dấu."
NV-0029,PL-TOA-ARI-L3-008,Phiếu kỹ năng & phương pháp: Số học & tỉ lệ phần trăm — cấp 3,Toán,Số học & tỉ lệ phần trăm,2,3,Phiếu kỹ năng & phương pháp,99,"Hoàn thành 12 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 15 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 3: Ghép nhiều bước và tránh các bẫy quen thuộc.",Làm đủ ba chặng trong một lượt. Ghi ra quy trình từng bước ở chặng 1 rồi bám theo đúng quy trình đó.
NV-0030,PL-TOA-ARI-L3-009,Phiếu luyện nâng cao: Số học & tỉ lệ phần trăm — cấp 3,Toán,Số học & tỉ lệ phần trăm,2,3,Phiếu luyện nâng cao,126,"Hoàn thành 12 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 15 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 3: Ghép nhiều bước và tránh các bẫy quen thuộc.",Đạt từ 85% mới tính là vượt. Mỗi câu sai bắt buộc đọc phần bẫy trong phiếu lời giải.
NV-0031,PL-TOA-ARI-L3-010,Phiếu ôn thi: Số học & tỉ lệ phần trăm — cấp 3,Toán,Số học & tỉ lệ phần trăm,2,3,Phiếu ôn thi,108,"Hoàn thành 12 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 14 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 3: Ghép nhiều bước và tránh các bẫy quen thuộc.",Không xem lại lý thuyết trong lúc làm. Sai ở đâu thì đó chính là chỗ chưa chắc thật.
NV-0032,PL-TOA-ARI-L3-011,Phiếu lý thuyết: Số học & tỉ lệ phần trăm — cấp 3,Toán,Số học & tỉ lệ phần trăm,2,3,Phiếu lý thuyết,72,"Hoàn thành 12 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 20 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 3: Ghép nhiều bước và tránh các bẫy quen thuộc.",Không giới hạn thời gian. Sai câu nào thì đọc ngay phần lý thuyết của câu đó trước khi đi tiếp.
NV-0033,PL-TOA-ARI-L3-012,Phiếu dạng bài & đọc vị: Số học & tỉ lệ phần trăm — cấp 3,Toán,Số học & tỉ lệ phần trăm,2,3,Phiếu dạng bài & đọc vị,90,"Hoàn thành 12 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 17 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 3: Ghép nhiều bước và tránh các bẫy quen thuộc.","Với mỗi câu, gọi tên dạng bài trong đầu TRƯỚC khi tính. Nếu không gọi được tên, đó là câu cần đánh dấu."
NV-0034,PL-TOA-ARI-L3-013,Phiếu thi: Số học & tỉ lệ phần trăm — cấp 3,Toán,Số học & tỉ lệ phần trăm,2,3,Phiếu thi,162,"Hoàn thành 12 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 13 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 3: Ghép nhiều bước và tránh các bẫy quen thuộc.",Phải đạt từ 90% để mở khóa cấp độ tiếp theo của tuyến này. Không tạm dừng giữa chừng.
NV-0035,PL-TOA-ARI-L4-001,Phiếu lý thuyết: Số học & tỉ lệ phần trăm — cấp 4,Toán,Số học & tỉ lệ phần trăm,2,4,Phiếu lý thuyết,96,"Hoàn thành 12 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 17 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 4: Giữ độ chính xác khi thời gian bắt đầu siết lại.",Không giới hạn thời gian. Sai câu nào thì đọc ngay phần lý thuyết của câu đó trước khi đi tiếp.
NV-0036,PL-TOA-ARI-L4-002,Phiếu dạng bài & đọc vị: Số học & tỉ lệ phần trăm — cấp 4,Toán,Số học & tỉ lệ phần trăm,2,4,Phiếu dạng bài & đọc vị,120,"Hoàn thành 12 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 15 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 4: Giữ độ chính xác khi thời gian bắt đầu siết lại.","Với mỗi câu, gọi tên dạng bài trong đầu TRƯỚC khi tính. Nếu không gọi được tên, đó là câu cần đánh dấu."
NV-0037,PL-TOA-ARI-L4-003,Phiếu kỹ năng & phương pháp: Số học & tỉ lệ phần trăm — cấp 4,Toán,Số học & tỉ lệ phần trăm,2,4,Phiếu kỹ năng & phương pháp,132,"Hoàn thành 12 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 13 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 4: Giữ độ chính xác khi thời gian bắt đầu siết lại.",Làm đủ ba chặng trong một lượt. Ghi ra quy trình từng bước ở chặng 1 rồi bám theo đúng quy trình đó.
NV-0038,PL-TOA-ARI-L4-004,Phiếu luyện nâng cao: Số học & tỉ lệ phần trăm — cấp 4,Toán,Số học & tỉ lệ phần trăm,2,4,Phiếu luyện nâng cao,168,"Hoàn thành 12 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 13 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 4: Giữ độ chính xác khi thời gian bắt đầu siết lại.",Đạt từ 85% mới tính là vượt. Mỗi câu sai bắt buộc đọc phần bẫy trong phiếu lời giải.
NV-0039,PL-TOA-ARI-L4-005,Phiếu ôn thi: Số học & tỉ lệ phần trăm — cấp 4,Toán,Số học & tỉ lệ phần trăm,2,4,Phiếu ôn thi,144,"Hoàn thành 12 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 12 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 4: Giữ độ chính xác khi thời gian bắt đầu siết lại.",Không xem lại lý thuyết trong lúc làm. Sai ở đâu thì đó chính là chỗ chưa chắc thật.
NV-0040,PL-TOA-ARI-L4-006,Phiếu lý thuyết: Số học & tỉ lệ phần trăm — cấp 4,Toán,Số học & tỉ lệ phần trăm,2,4,Phiếu lý thuyết,96,"Hoàn thành 12 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 17 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 4: Giữ độ chính xác khi thời gian bắt đầu siết lại.",Không giới hạn thời gian. Sai câu nào thì đọc ngay phần lý thuyết của câu đó trước khi đi tiếp.
NV-0041,PL-TOA-ARI-L4-007,Phiếu dạng bài & đọc vị: Số học & tỉ lệ phần trăm — cấp 4,Toán,Số học & tỉ lệ phần trăm,2,4,Phiếu dạng bài & đọc vị,120,"Hoàn thành 12 câu chuyên đề ""Số học & tỉ lệ phần trăm"" trong khoảng 15 phút, lần lượt qua 3 chặng: khởi động → rèn luyện → bứt tốc. Đúng từ 9 câu là hoàn thành; đúng từ 11 câu được tính là thành thạo và cộng điểm lên cấp. Tinh thần cấp 4: Giữ độ chính xác khi thời gian bắt đầu siết lại.","Với mỗi câu, gọi tên dạng bài trong đầu TRƯỚC khi tính. Nếu không gọi được tên, đó là câu cần đánh dấu."
