ma,ho,lop,moc,moc_ten,pham_vi,tuan,ten,thoi_luong,thang_diem,bien_the
GITA-MOC-L3-CK1-D03,MOC,3,CK1,Cuối kỳ I,Cụm C01 – C08,tuần 17,Đề thi Cuối kỳ I — Lớp 3 — đề 03,60,10,Đổi bối cảnh sang mua bán
GITA-MOC-L3-CK1-D04,MOC,3,CK1,Cuối kỳ I,Cụm C01 – C08,tuần 17,Đề thi Cuối kỳ I — Lớp 3 — đề 04,60,10,Đổi bối cảnh sang trường lớp
GITA-MOC-L3-CK1-D05,MOC,3,CK1,Cuối kỳ I,Cụm C01 – C08,tuần 17,Đề thi Cuối kỳ I — Lớp 3 — đề 05,60,10,Tăng một bậc độ khó ở bài 4 và bài 5
GITA-MOC-L3-CK1-D06,MOC,3,CK1,Cuối kỳ I,Cụm C01 – C08,tuần 17,Đề thi Cuối kỳ I — Lớp 3 — đề 06,60,10,Giảm một bậc độ khó — dùng cho lớp bù nền
GITA-MOC-L3-CK1-D07,MOC,3,CK1,Cuối kỳ I,Cụm C01 – C08,tuần 17,Đề thi Cuối kỳ I — Lớp 3 — đề 07,60,10,Thêm một bẫy đơn vị đo
GITA-MOC-L3-CK1-D08,MOC,3,CK1,Cuối kỳ I,Cụm C01 – C08,tuần 17,Đề thi Cuối kỳ I — Lớp 3 — đề 08,60,10,Thêm một bẫy dữ kiện thừa
GITA-MOC-L3-CK1-D09,MOC,3,CK1,Cuối kỳ I,Cụm C01 – C08,tuần 17,Đề thi Cuối kỳ I — Lớp 3 — đề 09,60,10,Thiên về hình học và đại lượng
GITA-MOC-L3-CK1-D10,MOC,3,CK1,Cuối kỳ I,Cụm C01 – C08,tuần 17,Đề thi Cuối kỳ I — Lớp 3 — đề 10,60,10,Thiên về suy luận và toán đếm
GITA-ON-L3-GK2,ON,3,GK2,Giữa kỳ II,Cụm C09 – C12,tuần 25,Phiếu ôn tập Giữa kỳ II — Lớp 3,90,100,
GITA-MOC-L3-GK2-D01,MOC,3,GK2,Giữa kỳ II,Cụm C09 – C12,tuần 25,Đề thi Giữa kỳ II — Lớp 3 — đề 01,60,10,Bản chuẩn — dùng cho lần thi chính thức
GITA-MOC-L3-GK2-D02,MOC,3,GK2,Giữa kỳ II,Cụm C09 – C12,tuần 25,Đề thi Giữa kỳ II — Lớp 3 — đề 02,60,10,"Đổi số liệu, giữ nguyên dạng"
GITA-MOC-L3-GK2-D03,MOC,3,GK2,Giữa kỳ II,Cụm C09 – C12,tuần 25,Đề thi Giữa kỳ II — Lớp 3 — đề 03,60,10,Đổi bối cảnh sang mua bán
GITA-MOC-L3-GK2-D04,MOC,3,GK2,Giữa kỳ II,Cụm C09 – C12,tuần 25,Đề thi Giữa kỳ II — Lớp 3 — đề 04,60,10,Đổi bối cảnh sang trường lớp
GITA-MOC-L3-GK2-D05,MOC,3,GK2,Giữa kỳ II,Cụm C09 – C12,tuần 25,Đề thi Giữa kỳ II — Lớp 3 — đề 05,60,10,Tăng một bậc độ khó ở bài 4 và bài 5
GITA-MOC-L3-GK2-D06,MOC,3,GK2,Giữa kỳ II,Cụm C09 – C12,tuần 25,Đề thi Giữa kỳ II — Lớp 3 — đề 06,60,10,Giảm một bậc độ khó — dùng cho lớp bù nền
GITA-MOC-L3-GK2-D07,MOC,3,GK2,Giữa kỳ II,Cụm C09 – C12,tuần 25,Đề thi Giữa kỳ II — Lớp 3 — đề 07,60,10,Thêm một bẫy đơn vị đo
GITA-MOC-L3-GK2-D08,MOC,3,GK2,Giữa kỳ II,Cụm C09 – C12,tuần 25,Đề thi Giữa kỳ II — Lớp 3 — đề 08,60,10,Thêm một bẫy dữ kiện thừa
GITA-MOC-L3-GK2-D09,MOC,3,GK2,Giữa kỳ II,Cụm C09 – C12,tuần 25,Đề thi Giữa kỳ II — Lớp 3 — đề 09,60,10,Thiên về hình học và đại lượng
GITA-MOC-L3-GK2-D10,MOC,3,GK2,Giữa kỳ II,Cụm C09 – C12,tuần 25,Đề thi Giữa kỳ II — Lớp 3 — đề 10,60,10,Thiên về suy luận và toán đếm
GITA-ON-L3-CK2,ON,3,CK2,Cuối kỳ II,Cụm C01 – C16 (cả năm),tuần 34,Phiếu ôn tập Cuối kỳ II — Lớp 3,90,100,
GITA-MOC-L3-CK2-D01,MOC,3,CK2,Cuối kỳ II,Cụm C01 – C16 (cả năm),tuần 34,Đề thi Cuối kỳ II — Lớp 3 — đề 01,60,10,Bản chuẩn — dùng cho lần thi chính thức
GITA-MOC-L3-CK2-D02,MOC,3,CK2,Cuối kỳ II,Cụm C01 – C16 (cả năm),tuần 34,Đề thi Cuối kỳ II — Lớp 3 — đề 02,60,10,"Đổi số liệu, giữ nguyên dạng"
GITA-MOC-L3-CK2-D03,MOC,3,CK2,Cuối kỳ II,Cụm C01 – C16 (cả năm),tuần 34,Đề thi Cuối kỳ II — Lớp 3 — đề 03,60,10,Đổi bối cảnh sang mua bán
GITA-MOC-L3-CK2-D04,MOC,3,CK2,Cuối kỳ II,Cụm C01 – C16 (cả năm),tuần 34,Đề thi Cuối kỳ II — Lớp 3 — đề 04,60,10,Đổi bối cảnh sang trường lớp
GITA-MOC-L3-CK2-D05,MOC,3,CK2,Cuối kỳ II,Cụm C01 – C16 (cả năm),tuần 34,Đề thi Cuối kỳ II — Lớp 3 — đề 05,60,10,Tăng một bậc độ khó ở bài 4 và bài 5
GITA-MOC-L3-CK2-D06,MOC,3,CK2,Cuối kỳ II,Cụm C01 – C16 (cả năm),tuần 34,Đề thi Cuối kỳ II — Lớp 3 — đề 06,60,10,Giảm một bậc độ khó — dùng cho lớp bù nền
GITA-MOC-L3-CK2-D07,MOC,3,CK2,Cuối kỳ II,Cụm C01 – C16 (cả năm),tuần 34,Đề thi Cuối kỳ II — Lớp 3 — đề 07,60,10,Thêm một bẫy đơn vị đo
GITA-MOC-L3-CK2-D08,MOC,3,CK2,Cuối kỳ II,Cụm C01 – C16 (cả năm),tuần 34,Đề thi Cuối kỳ II — Lớp 3 — đề 08,60,10,Thêm một bẫy dữ kiện thừa
GITA-MOC-L3-CK2-D09,MOC,3,CK2,Cuối kỳ II,Cụm C01 – C16 (cả năm),tuần 34,Đề thi Cuối kỳ II — Lớp 3 — đề 09,60,10,Thiên về hình học và đại lượng
GITA-MOC-L3-CK2-D10,MOC,3,CK2,Cuối kỳ II,Cụm C01 – C16 (cả năm),tuần 34,Đề thi Cuối kỳ II — Lớp 3 — đề 10,60,10,Thiên về suy luận và toán đếm
GITA-NL-L3-D01,NL,3,NL,Đánh giá năng lực,Cả năm,tháng 4 – 6,Đề đánh giá năng lực — Lớp 3 — đề 01,60,100,Bản chuẩn — dùng cho lần thi chính thức
GITA-NL-L3-D02,NL,3,NL,Đánh giá năng lực,Cả năm,tháng 4 – 6,Đề đánh giá năng lực — Lớp 3 — đề 02,60,100,"Đổi số liệu, giữ nguyên dạng"
GITA-NL-L3-D03,NL,3,NL,Đánh giá năng lực,Cả năm,tháng 4 – 6,Đề đánh giá năng lực — Lớp 3 — đề 03,60,100,Đổi bối cảnh sang mua bán
GITA-NL-L3-D04,NL,3,NL,Đánh giá năng lực,Cả năm,tháng 4 – 6,Đề đánh giá năng lực — Lớp 3 — đề 04,60,100,Đổi bối cảnh sang trường lớp
GITA-NL-L3-D05,NL,3,NL,Đánh giá năng lực,Cả năm,tháng 4 – 6,Đề đánh giá năng lực — Lớp 3 — đề 05,60,100,Tăng một bậc độ khó ở bài 4 và bài 5
GITA-NL-L3-D06,NL,3,NL,Đánh giá năng lực,Cả năm,tháng 4 – 6,Đề đánh giá năng lực — Lớp 3 — đề 06,60,100,Giảm một bậc độ khó — dùng cho lớp bù nền
GITA-NL-L3-D07,NL,3,NL,Đánh giá năng lực,Cả năm,tháng 4 – 6,Đề đánh giá năng lực — Lớp 3 — đề 07,60,100,Thêm một bẫy đơn vị đo
GITA-NL-L3-D08,NL,3,NL,Đánh giá năng lực,Cả năm,tháng 4 – 6,Đề đánh giá năng lực — Lớp 3 — đề 08,60,100,Thêm một bẫy dữ kiện thừa
GITA-NL-L3-D09,NL,3,NL,Đánh giá năng lực,Cả năm,tháng 4 – 6,Đề đánh giá năng lực — Lớp 3 — đề 09,60,100,Thiên về hình học và đại lượng
GITA-NL-L3-D10,NL,3,NL,Đánh giá năng lực,Cả năm,tháng 4 – 6,Đề đánh giá năng lực — Lớp 3 — đề 10,60,100,Thiên về suy luận và toán đếm
GITA-ON-L4-GK1,ON,4,GK1,Giữa kỳ I,Cụm C01 – C04,tuần 9,Phiếu ôn tập Giữa kỳ I — Lớp 4,90,100,
GITA-MOC-L4-GK1-D01,MOC,4,GK1,Giữa kỳ I,Cụm C01 – C04,tuần 9,Đề thi Giữa kỳ I — Lớp 4 — đề 01,60,10,Bản chuẩn — dùng cho lần thi chính thức
GITA-MOC-L4-GK1-D02,MOC,4,GK1,Giữa kỳ I,Cụm C01 – C04,tuần 9,Đề thi Giữa kỳ I — Lớp 4 — đề 02,60,10,"Đổi số liệu, giữ nguyên dạng"
GITA-MOC-L4-GK1-D03,MOC,4,GK1,Giữa kỳ I,Cụm C01 – C04,tuần 9,Đề thi Giữa kỳ I — Lớp 4 — đề 03,60,10,Đổi bối cảnh sang mua bán
GITA-MOC-L4-GK1-D04,MOC,4,GK1,Giữa kỳ I,Cụm C01 – C04,tuần 9,Đề thi Giữa kỳ I — Lớp 4 — đề 04,60,10,Đổi bối cảnh sang trường lớp
GITA-MOC-L4-GK1-D05,MOC,4,GK1,Giữa kỳ I,Cụm C01 – C04,tuần 9,Đề thi Giữa kỳ I — Lớp 4 — đề 05,60,10,Tăng một bậc độ khó ở bài 4 và bài 5
GITA-MOC-L4-GK1-D06,MOC,4,GK1,Giữa kỳ I,Cụm C01 – C04,tuần 9,Đề thi Giữa kỳ I — Lớp 4 — đề 06,60,10,Giảm một bậc độ khó — dùng cho lớp bù nền
GITA-MOC-L4-GK1-D07,MOC,4,GK1,Giữa kỳ I,Cụm C01 – C04,tuần 9,Đề thi Giữa kỳ I — Lớp 4 — đề 07,60,10,Thêm một bẫy đơn vị đo
GITA-MOC-L4-GK1-D08,MOC,4,GK1,Giữa kỳ I,Cụm C01 – C04,tuần 9,Đề thi Giữa kỳ I — Lớp 4 — đề 08,60,10,Thêm một bẫy dữ kiện thừa
GITA-MOC-L4-GK1-D09,MOC,4,GK1,Giữa kỳ I,Cụm C01 – C04,tuần 9,Đề thi Giữa kỳ I — Lớp 4 — đề 09,60,10,Thiên về hình học và đại lượng
GITA-MOC-L4-GK1-D10,MOC,4,GK1,Giữa kỳ I,Cụm C01 – C04,tuần 9,Đề thi Giữa kỳ I — Lớp 4 — đề 10,60,10,Thiên về suy luận và toán đếm
GITA-ON-L4-CK1,ON,4,CK1,Cuối kỳ I,Cụm C01 – C08,tuần 17,Phiếu ôn tập Cuối kỳ I — Lớp 4,90,100,
GITA-MOC-L4-CK1-D01,MOC,4,CK1,Cuối kỳ I,Cụm C01 – C08,tuần 17,Đề thi Cuối kỳ I — Lớp 4 — đề 01,60,10,Bản chuẩn — dùng cho lần thi chính thức
GITA-MOC-L4-CK1-D02,MOC,4,CK1,Cuối kỳ I,Cụm C01 – C08,tuần 17,Đề thi Cuối kỳ I — Lớp 4 — đề 02,60,10,"Đổi số liệu, giữ nguyên dạng"
GITA-MOC-L4-CK1-D03,MOC,4,CK1,Cuối kỳ I,Cụm C01 – C08,tuần 17,Đề thi Cuối kỳ I — Lớp 4 — đề 03,60,10,Đổi bối cảnh sang mua bán
GITA-MOC-L4-CK1-D04,MOC,4,CK1,Cuối kỳ I,Cụm C01 – C08,tuần 17,Đề thi Cuối kỳ I — Lớp 4 — đề 04,60,10,Đổi bối cảnh sang trường lớp
GITA-MOC-L4-CK1-D05,MOC,4,CK1,Cuối kỳ I,Cụm C01 – C08,tuần 17,Đề thi Cuối kỳ I — Lớp 4 — đề 05,60,10,Tăng một bậc độ khó ở bài 4 và bài 5
GITA-MOC-L4-CK1-D06,MOC,4,CK1,Cuối kỳ I,Cụm C01 – C08,tuần 17,Đề thi Cuối kỳ I — Lớp 4 — đề 06,60,10,Giảm một bậc độ khó — dùng cho lớp bù nền
GITA-MOC-L4-CK1-D07,MOC,4,CK1,Cuối kỳ I,Cụm C01 – C08,tuần 17,Đề thi Cuối kỳ I — Lớp 4 — đề 07,60,10,Thêm một bẫy đơn vị đo
GITA-MOC-L4-CK1-D08,MOC,4,CK1,Cuối kỳ I,Cụm C01 – C08,tuần 17,Đề thi Cuối kỳ I — Lớp 4 — đề 08,60,10,Thêm một bẫy dữ kiện thừa
GITA-MOC-L4-CK1-D09,MOC,4,CK1,Cuối kỳ I,Cụm C01 – C08,tuần 17,Đề thi Cuối kỳ I — Lớp 4 — đề 09,60,10,Thiên về hình học và đại lượng
GITA-MOC-L4-CK1-D10,MOC,4,CK1,Cuối kỳ I,Cụm C01 – C08,tuần 17,Đề thi Cuối kỳ I — Lớp 4 — đề 10,60,10,Thiên về suy luận và toán đếm
GITA-ON-L4-GK2,ON,4,GK2,Giữa kỳ II,Cụm C09 – C12,tuần 25,Phiếu ôn tập Giữa kỳ II — Lớp 4,90,100,
GITA-MOC-L4-GK2-D01,MOC,4,GK2,Giữa kỳ II,Cụm C09 – C12,tuần 25,Đề thi Giữa kỳ II — Lớp 4 — đề 01,60,10,Bản chuẩn — dùng cho lần thi chính thức
GITA-MOC-L4-GK2-D02,MOC,4,GK2,Giữa kỳ II,Cụm C09 – C12,tuần 25,Đề thi Giữa kỳ II — Lớp 4 — đề 02,60,10,"Đổi số liệu, giữ nguyên dạng"
GITA-MOC-L4-GK2-D03,MOC,4,GK2,Giữa kỳ II,Cụm C09 – C12,tuần 25,Đề thi Giữa kỳ II — Lớp 4 — đề 03,60,10,Đổi bối cảnh sang mua bán
GITA-MOC-L4-GK2-D04,MOC,4,GK2,Giữa kỳ II,Cụm C09 – C12,tuần 25,Đề thi Giữa kỳ II — Lớp 4 — đề 04,60,10,Đổi bối cảnh sang trường lớp
GITA-MOC-L4-GK2-D05,MOC,4,GK2,Giữa kỳ II,Cụm C09 – C12,tuần 25,Đề thi Giữa kỳ II — Lớp 4 — đề 05,60,10,Tăng một bậc độ khó ở bài 4 và bài 5
GITA-MOC-L4-GK2-D06,MOC,4,GK2,Giữa kỳ II,Cụm C09 – C12,tuần 25,Đề thi Giữa kỳ II — Lớp 4 — đề 06,60,10,Giảm một bậc độ khó — dùng cho lớp bù nền
GITA-MOC-L4-GK2-D07,MOC,4,GK2,Giữa kỳ II,Cụm C09 – C12,tuần 25,Đề thi Giữa kỳ II — Lớp 4 — đề 07,60,10,Thêm một bẫy đơn vị đo
GITA-MOC-L4-GK2-D08,MOC,4,GK2,Giữa kỳ II,Cụm C09 – C12,tuần 25,Đề thi Giữa kỳ II — Lớp 4 — đề 08,60,10,Thêm một bẫy dữ kiện thừa
GITA-MOC-L4-GK2-D09,MOC,4,GK2,Giữa kỳ II,Cụm C09 – C12,tuần 25,Đề thi Giữa kỳ II — Lớp 4 — đề 09,60,10,Thiên về hình học và đại lượng
GITA-MOC-L4-GK2-D10,MOC,4,GK2,Giữa kỳ II,Cụm C09 – C12,tuần 25,Đề thi Giữa kỳ II — Lớp 4 — đề 10,60,10,Thiên về suy luận và toán đếm
GITA-ON-L4-CK2,ON,4,CK2,Cuối kỳ II,Cụm C01 – C16 (cả năm),tuần 34,Phiếu ôn tập Cuối kỳ II — Lớp 4,90,100,
GITA-MOC-L4-CK2-D01,MOC,4,CK2,Cuối kỳ II,Cụm C01 – C16 (cả năm),tuần 34,Đề thi Cuối kỳ II — Lớp 4 — đề 01,60,10,Bản chuẩn — dùng cho lần thi chính thức
GITA-MOC-L4-CK2-D02,MOC,4,CK2,Cuối kỳ II,Cụm C01 – C16 (cả năm),tuần 34,Đề thi Cuối kỳ II — Lớp 4 — đề 02,60,10,"Đổi số liệu, giữ nguyên dạng"
GITA-MOC-L4-CK2-D03,MOC,4,CK2,Cuối kỳ II,Cụm C01 – C16 (cả năm),tuần 34,Đề thi Cuối kỳ II — Lớp 4 — đề 03,60,10,Đổi bối cảnh sang mua bán
GITA-MOC-L4-CK2-D04,MOC,4,CK2,Cuối kỳ II,Cụm C01 – C16 (cả năm),tuần 34,Đề thi Cuối kỳ II — Lớp 4 — đề 04,60,10,Đổi bối cảnh sang trường lớp
GITA-MOC-L4-CK2-D05,MOC,4,CK2,Cuối kỳ II,Cụm C01 – C16 (cả năm),tuần 34,Đề thi Cuối kỳ II — Lớp 4 — đề 05,60,10,Tăng một bậc độ khó ở bài 4 và bài 5
GITA-MOC-L4-CK2-D06,MOC,4,CK2,Cuối kỳ II,Cụm C01 – C16 (cả năm),tuần 34,Đề thi Cuối kỳ II — Lớp 4 — đề 06,60,10,Giảm một bậc độ khó — dùng cho lớp bù nền
GITA-MOC-L4-CK2-D07,MOC,4,CK2,Cuối kỳ II,Cụm C01 – C16 (cả năm),tuần 34,Đề thi Cuối kỳ II — Lớp 4 — đề 07,60,10,Thêm một bẫy đơn vị đo
GITA-MOC-L4-CK2-D08,MOC,4,CK2,Cuối kỳ II,Cụm C01 – C16 (cả năm),tuần 34,Đề thi Cuối kỳ II — Lớp 4 — đề 08,60,10,Thêm một bẫy dữ kiện thừa
GITA-MOC-L4-CK2-D09,MOC,4,CK2,Cuối kỳ II,Cụm C01 – C16 (cả năm),tuần 34,Đề thi Cuối kỳ II — Lớp 4 — đề 09,60,10,Thiên về hình học và đại lượng
GITA-MOC-L4-CK2-D10,MOC,4,CK2,Cuối kỳ II,Cụm C01 – C16 (cả năm),tuần 34,Đề thi Cuối kỳ II — Lớp 4 — đề 10,60,10,Thiên về suy luận và toán đếm
GITA-NL-L4-D01,NL,4,NL,Đánh giá năng lực,Cả năm,tháng 4 – 6,Đề đánh giá năng lực — Lớp 4 — đề 01,60,100,Bản chuẩn — dùng cho lần thi chính thức
GITA-NL-L4-D02,NL,4,NL,Đánh giá năng lực,Cả năm,tháng 4 – 6,Đề đánh giá năng lực — Lớp 4 — đề 02,60,100,"Đổi số liệu, giữ nguyên dạng"
GITA-NL-L4-D03,NL,4,NL,Đánh giá năng lực,Cả năm,tháng 4 – 6,Đề đánh giá năng lực — Lớp 4 — đề 03,60,100,Đổi bối cảnh sang mua bán
GITA-NL-L4-D04,NL,4,NL,Đánh giá năng lực,Cả năm,tháng 4 – 6,Đề đánh giá năng lực — Lớp 4 — đề 04,60,100,Đổi bối cảnh sang trường lớp
GITA-NL-L4-D05,NL,4,NL,Đánh giá năng lực,Cả năm,tháng 4 – 6,Đề đánh giá năng lực — Lớp 4 — đề 05,60,100,Tăng một bậc độ khó ở bài 4 và bài 5
GITA-NL-L4-D06,NL,4,NL,Đánh giá năng lực,Cả năm,tháng 4 – 6,Đề đánh giá năng lực — Lớp 4 — đề 06,60,100,Giảm một bậc độ khó — dùng cho lớp bù nền
GITA-NL-L4-D07,NL,4,NL,Đánh giá năng lực,Cả năm,tháng 4 – 6,Đề đánh giá năng lực — Lớp 4 — đề 07,60,100,Thêm một bẫy đơn vị đo
GITA-NL-L4-D08,NL,4,NL,Đánh giá năng lực,Cả năm,tháng 4 – 6,Đề đánh giá năng lực — Lớp 4 — đề 08,60,100,Thêm một bẫy dữ kiện thừa
GITA-NL-L4-D09,NL,4,NL,Đánh giá năng lực,Cả năm,tháng 4 – 6,Đề đánh giá năng lực — Lớp 4 — đề 09,60,100,Thiên về hình học và đại lượng
GITA-NL-L4-D10,NL,4,NL,Đánh giá năng lực,Cả năm,tháng 4 – 6,Đề đánh giá năng lực — Lớp 4 — đề 10,60,100,Thiên về suy luận và toán đếm
GITA-ON-L5-GK1,ON,5,GK1,Giữa kỳ I,Cụm C01 – C04,tuần 9,Phiếu ôn tập Giữa kỳ I — Lớp 5,90,100,
GITA-MOC-L5-GK1-D01,MOC,5,GK1,Giữa kỳ I,Cụm C01 – C04,tuần 9,Đề thi Giữa kỳ I — Lớp 5 — đề 01,60,10,Bản chuẩn — dùng cho lần thi chính thức
GITA-MOC-L5-GK1-D02,MOC,5,GK1,Giữa kỳ I,Cụm C01 – C04,tuần 9,Đề thi Giữa kỳ I — Lớp 5 — đề 02,60,10,"Đổi số liệu, giữ nguyên dạng"
GITA-MOC-L5-GK1-D03,MOC,5,GK1,Giữa kỳ I,Cụm C01 – C04,tuần 9,Đề thi Giữa kỳ I — Lớp 5 — đề 03,60,10,Đổi bối cảnh sang mua bán
GITA-MOC-L5-GK1-D04,MOC,5,GK1,Giữa kỳ I,Cụm C01 – C04,tuần 9,Đề thi Giữa kỳ I — Lớp 5 — đề 04,60,10,Đổi bối cảnh sang trường lớp
GITA-MOC-L5-GK1-D05,MOC,5,GK1,Giữa kỳ I,Cụm C01 – C04,tuần 9,Đề thi Giữa kỳ I — Lớp 5 — đề 05,60,10,Tăng một bậc độ khó ở bài 4 và bài 5
GITA-MOC-L5-GK1-D06,MOC,5,GK1,Giữa kỳ I,Cụm C01 – C04,tuần 9,Đề thi Giữa kỳ I — Lớp 5 — đề 06,60,10,Giảm một bậc độ khó — dùng cho lớp bù nền
GITA-MOC-L5-GK1-D07,MOC,5,GK1,Giữa kỳ I,Cụm C01 – C04,tuần 9,Đề thi Giữa kỳ I — Lớp 5 — đề 07,60,10,Thêm một bẫy đơn vị đo
GITA-MOC-L5-GK1-D08,MOC,5,GK1,Giữa kỳ I,Cụm C01 – C04,tuần 9,Đề thi Giữa kỳ I — Lớp 5 — đề 08,60,10,Thêm một bẫy dữ kiện thừa
GITA-MOC-L5-GK1-D09,MOC,5,GK1,Giữa kỳ I,Cụm C01 – C04,tuần 9,Đề thi Giữa kỳ I — Lớp 5 — đề 09,60,10,Thiên về hình học và đại lượng
GITA-MOC-L5-GK1-D10,MOC,5,GK1,Giữa kỳ I,Cụm C01 – C04,tuần 9,Đề thi Giữa kỳ I — Lớp 5 — đề 10,60,10,Thiên về suy luận và toán đếm
GITA-ON-L5-CK1,ON,5,CK1,Cuối kỳ I,Cụm C01 – C08,tuần 17,Phiếu ôn tập Cuối kỳ I — Lớp 5,90,100,
GITA-MOC-L5-CK1-D01,MOC,5,CK1,Cuối kỳ I,Cụm C01 – C08,tuần 17,Đề thi Cuối kỳ I — Lớp 5 — đề 01,60,10,Bản chuẩn — dùng cho lần thi chính thức
GITA-MOC-L5-CK1-D02,MOC,5,CK1,Cuối kỳ I,Cụm C01 – C08,tuần 17,Đề thi Cuối kỳ I — Lớp 5 — đề 02,60,10,"Đổi số liệu, giữ nguyên dạng"
GITA-MOC-L5-CK1-D03,MOC,5,CK1,Cuối kỳ I,Cụm C01 – C08,tuần 17,Đề thi Cuối kỳ I — Lớp 5 — đề 03,60,10,Đổi bối cảnh sang mua bán
GITA-MOC-L5-CK1-D04,MOC,5,CK1,Cuối kỳ I,Cụm C01 – C08,tuần 17,Đề thi Cuối kỳ I — Lớp 5 — đề 04,60,10,Đổi bối cảnh sang trường lớp
GITA-MOC-L5-CK1-D05,MOC,5,CK1,Cuối kỳ I,Cụm C01 – C08,tuần 17,Đề thi Cuối kỳ I — Lớp 5 — đề 05,60,10,Tăng một bậc độ khó ở bài 4 và bài 5
GITA-MOC-L5-CK1-D06,MOC,5,CK1,Cuối kỳ I,Cụm C01 – C08,tuần 17,Đề thi Cuối kỳ I — Lớp 5 — đề 06,60,10,Giảm một bậc độ khó — dùng cho lớp bù nền
GITA-MOC-L5-CK1-D07,MOC,5,CK1,Cuối kỳ I,Cụm C01 – C08,tuần 17,Đề thi Cuối kỳ I — Lớp 5 — đề 07,60,10,Thêm một bẫy đơn vị đo
GITA-MOC-L5-CK1-D08,MOC,5,CK1,Cuối kỳ I,Cụm C01 – C08,tuần 17,Đề thi Cuối kỳ I — Lớp 5 — đề 08,60,10,Thêm một bẫy dữ kiện thừa
GITA-MOC-L5-CK1-D09,MOC,5,CK1,Cuối kỳ I,Cụm C01 – C08,tuần 17,Đề thi Cuối kỳ I — Lớp 5 — đề 09,60,10,Thiên về hình học và đại lượng
GITA-MOC-L5-CK1-D10,MOC,5,CK1,Cuối kỳ I,Cụm C01 – C08,tuần 17,Đề thi Cuối kỳ I — Lớp 5 — đề 10,60,10,Thiên về suy luận và toán đếm
GITA-ON-L5-GK2,ON,5,GK2,Giữa kỳ II,Cụm C09 – C12,tuần 25,Phiếu ôn tập Giữa kỳ II — Lớp 5,90,100,
GITA-MOC-L5-GK2-D01,MOC,5,GK2,Giữa kỳ II,Cụm C09 – C12,tuần 25,Đề thi Giữa kỳ II — Lớp 5 — đề 01,60,10,Bản chuẩn — dùng cho lần thi chính thức
GITA-MOC-L5-GK2-D02,MOC,5,GK2,Giữa kỳ II,Cụm C09 – C12,tuần 25,Đề thi Giữa kỳ II — Lớp 5 — đề 02,60,10,"Đổi số liệu, giữ nguyên dạng"
