tuan,ngay,thu,gio,nhom,ma_bai,nghi_thuc,tru_cot,tieu_de,dinh_dang,cta,tang_gia_tri,muc_cham_soc,chu_de_thang,nguoi_phu_trach,trang_thai
1,2026-09-11,Thu Sau,19:45,G2 - Gia Đình Thịnh Vượng,G2-W01-T6-KHOE,Khoe Nhà Mình,Cau chuyen gia dinh,Khoảnh khắc thật của nhà bạn tuần này,Anh/video + cau chuyen,Dang anh that kem 1 cau chuyen,T0,CARE-3,KET_NOI,chua phan cong,chua soan
1,2026-09-12,Thu Bay,08:00,G1 - Cộng đồng GITA365,G1-W01-T7-THUC,Thực Chiến,Thuc hanh co huong dan,Bài tập: viết ra ba điều đang rút cạn năng lượng của bạn,Bai tap + mau dien,Nop bai tren web app truoc Chu nhat,T1,CARE-2,NEN_MONG,chua phan cong,chua soan
1,2026-09-12,Thu Bay,08:00,G2 - Gia Đình Thịnh Vượng,G2-W01-T7-CHOI,Gia Đình Chơi Cùng Nhau,Hoat dong gia dinh,Trò chơi 15 phút không cần dụng cụ,Huong dan tro choi 15 phut,Choi va dang anh/video,T1,CARE-2,KET_NOI,chua phan cong,chua soan
1,2026-09-12,Thu Bay,11:45,G1 - Cộng đồng GITA365,G1-W01-N6,Bai nhe,Nhan thuc & tu duy,Câu hỏi nhanh: khó nhất với bạn là bắt đầu hay duy trì?,Cau hoi 1 dong,Tra loi 1 dong,T0,CARE-1,NEN_MONG,chua phan cong,chua soan
1,2026-09-13,Chu Nhat,11:45,G1 - Cộng đồng GITA365,G1-W01-N7,Bai nhe,Moi goi hanh dong,Bộ công cụ tuần này đang nằm ở đâu?,Nhac tai nguyen tang 1,Tra loi 1 dong,T0,CARE-1,NEN_MONG,chua phan cong,chua soan
1,2026-09-13,Chu Nhat,21:00,G1 - Cộng đồng GITA365,G1-W01-CN-TONG,Tổng Kết & Vinh Danh,Moi goi hanh dong,Tuần này cộng đồng mình đã làm được gì,Bang vinh danh + 1 loi moi,Loi moi duy nhat trong tuan,T2,CARE-3,NEN_MONG,chua phan cong,chua soan
1,2026-09-13,Chu Nhat,21:00,G2 - Gia Đình Thịnh Vượng,G2-W01-CN-VINH,Bảng Vinh Danh Gia Đình,Thi dua & vinh danh,Bảng vinh danh tuần: những gia đình bền bỉ nhất,Bang xep hang 4 bang dau,Co vu it nhat 3 gia dinh,T0,CARE-3,KET_NOI,chua phan cong,chua soan
2,2026-09-14,Thu Hai,05:45,G1 - Cộng đồng GITA365,G1-W02-T2-KHOI,Khởi Nguyên,Ket noi & nghi thuc,Việc nhỏ nhất bạn làm được ngay sáng nay là gì?,Bai check-in 3 dong,Viet 3 dong cam ket tuan,T0,CARE-2,NEN_MONG,chua phan cong,chua soan
2,2026-09-14,Thu Hai,11:45,G1 - Cộng đồng GITA365,G1-W02-N1,Bai nhe,Nhan thuc & tu duy,Bình chọn: bạn hợp với buổi sáng hay buổi tối?,Binh chon A/B,Tra loi 1 dong,T0,CARE-1,NEN_MONG,chua phan cong,chua soan
2,2026-09-14,Thu Hai,11:45,G2 - Gia Đình Thịnh Vượng,G2-W02-N1,Bai nhe,Ky nang cha me - vo chong,Bình chọn: cuối tuần nhà bạn thích ở nhà hay đi chơi?,Binh chon A/B,Tra loi 1 dong,T0,CARE-1,KET_NOI,chua phan cong,chua soan
2,2026-09-14,Thu Hai,19:45,G2 - Gia Đình Thịnh Vượng,G2-W02-T2-NHIE,Nhiệm Vụ Gia Đình Tuần,Hoat dong gia dinh,Nhiệm vụ tuần: cả nhà ăn cơm cùng nhau 4 bữa,Bai nhiem vu + cach cham diem,Binh luan Ma gia dinh + cam ket,T0,CARE-3,KET_NOI,chua phan cong,chua soan
2,2026-09-15,Thu Ba,11:45,G1 - Cộng đồng GITA365,G1-W02-N2,Bai nhe,Bang chung & cau chuyen,Một câu của thành viên khiến cả nhóm dừng lại,Anh trich dan tu thanh vien,Tra loi 1 dong,T0,CARE-1,NEN_MONG,chua phan cong,chua soan
2,2026-09-15,Thu Ba,11:45,G2 - Gia Đình Thịnh Vượng,G2-W02-N2,Bai nhe,Thi dua & vinh danh,Chào những gia đình mới đăng ký Mã gia đình tuần này,Goi ten gia dinh moi,Tra loi 1 dong,T0,CARE-1,KET_NOI,chua phan cong,chua soan
2,2026-09-15,Thu Ba,17:30,G2 - Gia Đình Thịnh Vượng,G2-W02-T3-BAN_,Bàn Ăn Yêu Thương,Hoat dong gia dinh,Câu hỏi bàn ăn: ai đã giúp con hôm nay?,Cau hoi ban an + anh mam com,Chup anh mam com va ke lai,T0,CARE-2,KET_NOI,chua phan cong,chua soan
2,2026-09-15,Thu Ba,19:45,G1 - Cộng đồng GITA365,G1-W02-T3-GIAI,Giải Mã,Nhan thuc & tu duy,"Ba tầng của một vấn đề: hiện tượng, thói quen, niềm tin",Bai dai + so do,Tai cong cu tren web app,T1,CARE-3,NEN_MONG,chua phan cong,chua soan
2,2026-09-16,Thu Tu,05:45,G1 - Cộng đồng GITA365,G1-W02-T4-CHO_,Cho Là Nhận,Thuc hanh co huong dan,Trả lời một người đang loay hoay giống bạn năm ngoái,Thu thach trong ngay,"Bao lai da giup ai, viec gi",T0,CARE-2,NEN_MONG,chua phan cong,chua soan
2,2026-09-16,Thu Tu,11:45,G1 - Cộng đồng GITA365,G1-W02-N3,Bai nhe,Ket noi & nghi thuc,Chào mừng những người mới của tuần,Chao mung nguoi moi,Tra loi 1 dong,T0,CARE-1,NEN_MONG,chua phan cong,chua soan
2,2026-09-16,Thu Tu,11:45,G2 - Gia Đình Thịnh Vượng,G2-W02-N3,Bai nhe,Moi nhan cong cu tang 1,Bộ 12 trò chơi gắn kết cha mẹ - con cái đã có trên web app,Moi nhan bo cong cu tang 1,Tra loi 1 dong,T0,CARE-1,KET_NOI,chua phan cong,chua soan
2,2026-09-16,Thu Tu,19:45,G2 - Gia Đình Thịnh Vượng,G2-W02-T4-VIEC,Việc Tử Tế Của Gia Đình,Cau chuyen gia dinh,Cả nhà cùng giúp một người hàng xóm,Ke lai 3 dong,Ke viec tu te va gan the mot gia dinh khac,T0,CARE-2,KET_NOI,chua phan cong,chua soan
2,2026-09-17,Thu Nam,11:45,G1 - Cộng đồng GITA365,G1-W02-N4,Bai nhe,Thuc hanh co huong dan,Thử ngay 5 phút: gọi cho một người bạn đang nghĩ tới,Thu ngay 5 phut,Tra loi 1 dong,T0,CARE-1,NEN_MONG,chua phan cong,chua soan
2,2026-09-17,Thu Nam,20:00,G1 - Cộng đồng GITA365,G1-W02-T5-HOI_,Hỏi & Đáp Cùng Cố Vấn,Ket noi & nghi thuc,Gỡ rối ba tình huống khó nhất tuần này,Livestream 30-45 phut,Dat cau hoi truoc gio live,T2,CARE-3,NEN_MONG,chua phan cong,chua soan
2,2026-09-17,Thu Nam,20:00,G2 - Gia Đình Thịnh Vượng,G2-W02-T5-CHA_,Cha Mẹ Tỉnh Thức,Ky nang cha me - vo chong,Cách hỏi để con chịu kể chuyện,Bai ky nang + kich ban noi,Thu toi nay va ke lai,T1,CARE-3,KET_NOI,chua phan cong,chua soan
2,2026-09-18,Thu Sau,11:45,G1 - Cộng đồng GITA365,G1-W02-N5,Bai nhe,Bang chung & cau chuyen,Trước và sau: ba mươi ngày của một thành viên,Truoc va sau,Tra loi 1 dong,T0,CARE-1,NEN_MONG,chua phan cong,chua soan
2,2026-09-18,Thu Sau,19:45,G1 - Cộng đồng GITA365,G1-W02-T6-BANG,Bằng Chứng,Bang chung & cau chuyen,Người đàn ông ba lần bỏ cuộc và lần thứ tư,Cau chuyen chuyen hoa (UGC),Ke cau chuyen cua ban,T1,CARE-3,NEN_MONG,chua phan cong,chua soan
2,2026-09-18,Thu Sau,19:45,G2 - Gia Đình Thịnh Vượng,G2-W02-T6-KHOE,Khoe Nhà Mình,Cau chuyen gia dinh,Bức ảnh làm bạn muốn giữ mãi,Anh/video + cau chuyen,Dang anh that kem 1 cau chuyen,T0,CARE-3,KET_NOI,chua phan cong,chua soan
2,2026-09-19,Thu Bay,08:00,G1 - Cộng đồng GITA365,G1-W02-T7-THUC,Thực Chiến,Thuc hanh co huong dan,Bài tập: bản đồ một ngày của bạn,Bai tap + mau dien,Nop bai tren web app truoc Chu nhat,T1,CARE-2,NEN_MONG,chua phan cong,chua soan
2,2026-09-19,Thu Bay,08:00,G2 - Gia Đình Thịnh Vượng,G2-W02-T7-CHOI,Gia Đình Chơi Cùng Nhau,Hoat dong gia dinh,Cuộc thi kể chuyện trong nhà,Huong dan tro choi 15 phut,Choi va dang anh/video,T1,CARE-2,KET_NOI,chua phan cong,chua soan
2,2026-09-19,Thu Bay,11:45,G1 - Cộng đồng GITA365,G1-W02-N6,Bai nhe,Nhan thuc & tu duy,Điều ai cũng khuyên nhưng có thể sai với bạn,Goc nhin nguoc,Tra loi 1 dong,T0,CARE-1,NEN_MONG,chua phan cong,chua soan
2,2026-09-20,Chu Nhat,11:45,G1 - Cộng đồng GITA365,G1-W02-N7,Bai nhe,Moi goi hanh dong,Buổi định hướng nhóm nhỏ tuần này còn chỗ,Nhac buoi dinh huong,Tra loi 1 dong,T0,CARE-1,NEN_MONG,chua phan cong,chua soan
2,2026-09-20,Chu Nhat,21:00,G1 - Cộng đồng GITA365,G1-W02-CN-TONG,Tổng Kết & Vinh Danh,Moi goi hanh dong,Năm người xứng đáng được gọi tên,Bang vinh danh + 1 loi moi,Loi moi duy nhat trong tuan,T2,CARE-3,NEN_MONG,chua phan cong,chua soan
2,2026-09-20,Chu Nhat,21:00,G2 - Gia Đình Thịnh Vượng,G2-W02-CN-VINH,Bảng Vinh Danh Gia Đình,Thi dua & vinh danh,Ba gia đình khiến cả nhóm ấm lòng tuần này,Bang xep hang 4 bang dau,Co vu it nhat 3 gia dinh,T0,CARE-3,KET_NOI,chua phan cong,chua soan
3,2026-09-21,Thu Hai,05:45,G1 - Cộng đồng GITA365,G1-W03-T2-KHOI,Khởi Nguyên,Ket noi & nghi thuc,Tuần trước bạn bỏ dở điều gì — tuần này nhặt lại chứ?,Bai check-in 3 dong,Viet 3 dong cam ket tuan,T0,CARE-2,NEN_MONG,chua phan cong,chua soan
3,2026-09-21,Thu Hai,11:45,G1 - Cộng đồng GITA365,G1-W03-N1,Bai nhe,Nhan thuc & tu duy,Một câu để mang theo hôm nay,Anh trich dan co ngu canh,Tra loi 1 dong,T0,CARE-1,NEN_MONG,chua phan cong,chua soan
3,2026-09-21,Thu Hai,11:45,G2 - Gia Đình Thịnh Vượng,G2-W03-N1,Bai nhe,Ky nang cha me - vo chong,Nhà bạn xử lý thế nào khi hai đứa tranh nhau đồ chơi?,Cau hoi 1 dong,Tra loi 1 dong,T0,CARE-1,KET_NOI,chua phan cong,chua soan
3,2026-09-21,Thu Hai,19:45,G2 - Gia Đình Thịnh Vượng,G2-W03-T2-NHIE,Nhiệm Vụ Gia Đình Tuần,Hoat dong gia dinh,Nhiệm vụ tuần: mỗi người nói một lời khen cho người khác,Bai nhiem vu + cach cham diem,Binh luan Ma gia dinh + cam ket,T0,CARE-3,KET_NOI,chua phan cong,chua soan
3,2026-09-22,Thu Ba,11:45,G1 - Cộng đồng GITA365,G1-W03-N2,Bai nhe,Bang chung & cau chuyen,Hậu trường: một buổi làm việc của đội GITA365,Hau truong,Tra loi 1 dong,T0,CARE-1,NEN_MONG,chua phan cong,chua soan
3,2026-09-22,Thu Ba,11:45,G2 - Gia Đình Thịnh Vượng,G2-W03-N2,Bai nhe,Thi dua & vinh danh,Bảng xếp hạng giữa tuần: nhà bạn đang ở đâu?,Nhac bang xep hang,Tra loi 1 dong,T0,CARE-1,KET_NOI,chua phan cong,chua soan
3,2026-09-22,Thu Ba,17:30,G2 - Gia Đình Thịnh Vượng,G2-W03-T3-BAN_,Bàn Ăn Yêu Thương,Hoat dong gia dinh,Câu hỏi bàn ăn: điều gì hôm nay khó với con?,Cau hoi ban an + anh mam com,Chup anh mam com va ke lai,T0,CARE-2,KET_NOI,chua phan cong,chua soan
3,2026-09-22,Thu Ba,19:45,G1 - Cộng đồng GITA365,G1-W03-T3-GIAI,Giải Mã,Nhan thuc & tu duy,Bạn đang giải quyết vấn đề hay đang né tránh nó?,Bai dai + so do,Tai cong cu tren web app,T1,CARE-3,NEN_MONG,chua phan cong,chua soan
3,2026-09-23,Thu Tu,05:45,G1 - Cộng đồng GITA365,G1-W03-T4-CHO_,Cho Là Nhận,Thuc hanh co huong dan,Gửi một lời cảm ơn bạn nợ ai đó đã lâu,Thu thach trong ngay,"Bao lai da giup ai, viec gi",T0,CARE-2,NEN_MONG,chua phan cong,chua soan
3,2026-09-23,Thu Tu,11:45,G1 - Cộng đồng GITA365,G1-W03-N3,Bai nhe,Nhan thuc & tu duy,Trả lời một câu hỏi thật của thành viên,Tra loi cau hoi that,Tra loi 1 dong,T0,CARE-1,NEN_MONG,chua phan cong,chua soan
3,2026-09-23,Thu Tu,11:45,G2 - Gia Đình Thịnh Vượng,G2-W03-N3,Bai nhe,Moi nhan cong cu tang 1,Tặng cả nhà bộ 30 câu hỏi bàn ăn,Moi nhan bo cong cu tang 1,Tra loi 1 dong,T0,CARE-1,KET_NOI,chua phan cong,chua soan
3,2026-09-23,Thu Tu,19:45,G2 - Gia Đình Thịnh Vượng,G2-W03-T4-VIEC,Việc Tử Tế Của Gia Đình,Cau chuyen gia dinh,Một việc tử tế dành cho ông bà,Ke lai 3 dong,Ke viec tu te va gan the mot gia dinh khac,T0,CARE-2,KET_NOI,chua phan cong,chua soan
3,2026-09-24,Thu Nam,11:45,G1 - Cộng đồng GITA365,G1-W03-N4,Bai nhe,Thuc hanh co huong dan,Thử ngay 5 phút: viết ra ba điều đang chiếm đầu bạn,Thu ngay 5 phut,Tra loi 1 dong,T0,CARE-1,NEN_MONG,chua phan cong,chua soan
3,2026-09-24,Thu Nam,20:00,G1 - Cộng đồng GITA365,G1-W03-T5-HOI_,Hỏi & Đáp Cùng Cố Vấn,Ket noi & nghi thuc,Khi mục tiêu và thực tế không gặp nhau,Livestream 30-45 phut,Dat cau hoi truoc gio live,T2,CARE-3,NEN_MONG,chua phan cong,chua soan
3,2026-09-24,Thu Nam,20:00,G2 - Gia Đình Thịnh Vượng,G2-W03-T5-CHA_,Cha Mẹ Tỉnh Thức,Ky nang cha me - vo chong,Nói gì khi vợ chồng bất đồng trước mặt con,Bai ky nang + kich ban noi,Thu toi nay va ke lai,T1,CARE-3,KET_NOI,chua phan cong,chua soan
3,2026-09-25,Thu Sau,11:45,G1 - Cộng đồng GITA365,G1-W03-N5,Bai nhe,Bang chung & cau chuyen,Sai lầm tôi từng trả giá đắt,Sai lam cua toi,Tra loi 1 dong,T0,CARE-1,NEN_MONG,chua phan cong,chua soan
3,2026-09-25,Thu Sau,19:45,G1 - Cộng đồng GITA365,G1-W03-T6-BANG,Bằng Chứng,Bang chung & cau chuyen,Chị ấy bắt đầu bằng mười phút mỗi sáng,Cau chuyen chuyen hoa (UGC),Ke cau chuyen cua ban,T1,CARE-3,NEN_MONG,chua phan cong,chua soan
3,2026-09-25,Thu Sau,19:45,G2 - Gia Đình Thịnh Vượng,G2-W03-T6-KHOE,Khoe Nhà Mình,Cau chuyen gia dinh,Góc nhỏ nhất trong nhà mà cả nhà thích nhất,Anh/video + cau chuyen,Dang anh that kem 1 cau chuyen,T0,CARE-3,KET_NOI,chua phan cong,chua soan
3,2026-09-26,Thu Bay,08:00,G1 - Cộng đồng GITA365,G1-W03-T7-THUC,Thực Chiến,Thuc hanh co huong dan,Bài tập: bảy câu hỏi dọn nội tâm,Bai tap + mau dien,Nop bai tren web app truoc Chu nhat,T1,CARE-2,NEN_MONG,chua phan cong,chua soan
3,2026-09-26,Thu Bay,08:00,G2 - Gia Đình Thịnh Vượng,G2-W03-T7-CHOI,Gia Đình Chơi Cùng Nhau,Hoat dong gia dinh,Trò chơi phá băng cho cả nhà ba thế hệ,Huong dan tro choi 15 phut,Choi va dang anh/video,T1,CARE-2,KET_NOI,chua phan cong,chua soan
3,2026-09-26,Thu Bay,11:45,G1 - Cộng đồng GITA365,G1-W03-N6,Bai nhe,Nhan thuc & tu duy,Câu hỏi nhanh: khó nhất với bạn là bắt đầu hay duy trì?,Cau hoi 1 dong,Tra loi 1 dong,T0,CARE-1,NEN_MONG,chua phan cong,chua soan
3,2026-09-27,Chu Nhat,11:45,G1 - Cộng đồng GITA365,G1-W03-N7,Bai nhe,Moi goi hanh dong,Bộ công cụ tuần này đang nằm ở đâu?,Nhac tai nguyen tang 1,Tra loi 1 dong,T0,CARE-1,NEN_MONG,chua phan cong,chua soan
3,2026-09-27,Chu Nhat,21:00,G1 - Cộng đồng GITA365,G1-W03-CN-TONG,Tổng Kết & Vinh Danh,Moi goi hanh dong,Những dòng khiến cả nhóm im lặng tuần qua,Bang vinh danh + 1 loi moi,Loi moi duy nhat trong tuan,T2,CARE-3,NEN_MONG,chua phan cong,chua soan
3,2026-09-27,Chu Nhat,21:00,G2 - Gia Đình Thịnh Vượng,G2-W03-CN-VINH,Bảng Vinh Danh Gia Đình,Thi dua & vinh danh,Kết quả tuần và những cái tên đáng nhớ,Bang xep hang 4 bang dau,Co vu it nhat 3 gia dinh,T0,CARE-3,KET_NOI,chua phan cong,chua soan
4,2026-09-28,Thu Hai,05:45,G1 - Cộng đồng GITA365,G1-W04-T2-KHOI,Khởi Nguyên,Ket noi & nghi thuc,"Một mục tiêu, một người nhắc bạn",Bai check-in 3 dong,Viet 3 dong cam ket tuan,T0,CARE-2,NEN_MONG,chua phan cong,chua soan
4,2026-09-28,Thu Hai,11:45,G1 - Cộng đồng GITA365,G1-W04-N1,Bai nhe,Nhan thuc & tu duy,Bình chọn: bạn hợp với buổi sáng hay buổi tối?,Binh chon A/B,Tra loi 1 dong,T0,CARE-1,NEN_MONG,chua phan cong,chua soan
4,2026-09-28,Thu Hai,11:45,G2 - Gia Đình Thịnh Vượng,G2-W04-N1,Bai nhe,Ky nang cha me - vo chong,Bình chọn: cuối tuần nhà bạn thích ở nhà hay đi chơi?,Binh chon A/B,Tra loi 1 dong,T0,CARE-1,KET_NOI,chua phan cong,chua soan
4,2026-09-28,Thu Hai,19:45,G2 - Gia Đình Thịnh Vượng,G2-W04-T2-NHIE,Nhiệm Vụ Gia Đình Tuần,Hoat dong gia dinh,Nhiệm vụ tuần: một buổi đi bộ cùng nhau,Bai nhiem vu + cach cham diem,Binh luan Ma gia dinh + cam ket,T0,CARE-3,KET_NOI,chua phan cong,chua soan
4,2026-09-29,Thu Ba,11:45,G1 - Cộng đồng GITA365,G1-W04-N2,Bai nhe,Bang chung & cau chuyen,Một câu của thành viên khiến cả nhóm dừng lại,Anh trich dan tu thanh vien,Tra loi 1 dong,T0,CARE-1,NEN_MONG,chua phan cong,chua soan
4,2026-09-29,Thu Ba,11:45,G2 - Gia Đình Thịnh Vượng,G2-W04-N2,Bai nhe,Thi dua & vinh danh,Chào những gia đình mới đăng ký Mã gia đình tuần này,Goi ten gia dinh moi,Tra loi 1 dong,T0,CARE-1,KET_NOI,chua phan cong,chua soan
4,2026-09-29,Thu Ba,17:30,G2 - Gia Đình Thịnh Vượng,G2-W04-T3-BAN_,Bàn Ăn Yêu Thương,Hoat dong gia dinh,Câu hỏi bàn ăn: con biết ơn điều gì?,Cau hoi ban an + anh mam com,Chup anh mam com va ke lai,T0,CARE-2,KET_NOI,chua phan cong,chua soan
4,2026-09-29,Thu Ba,19:45,G1 - Cộng đồng GITA365,G1-W04-T3-GIAI,Giải Mã,Nhan thuc & tu duy,Cái giá thật của việc trì hoãn một quyết định,Bai dai + so do,Tai cong cu tren web app,T1,CARE-3,NEN_MONG,chua phan cong,chua soan
4,2026-09-30,Thu Tu,05:45,G1 - Cộng đồng GITA365,G1-W04-T4-CHO_,Cho Là Nhận,Thuc hanh co huong dan,Chia sẻ một sai lầm để người khác đỡ vấp,Thu thach trong ngay,"Bao lai da giup ai, viec gi",T0,CARE-2,NEN_MONG,chua phan cong,chua soan
4,2026-09-30,Thu Tu,11:45,G1 - Cộng đồng GITA365,G1-W04-N3,Bai nhe,Ket noi & nghi thuc,Chào mừng những người mới của tuần,Chao mung nguoi moi,Tra loi 1 dong,T0,CARE-1,NEN_MONG,chua phan cong,chua soan
4,2026-09-30,Thu Tu,11:45,G2 - Gia Đình Thịnh Vượng,G2-W04-N3,Bai nhe,Moi nhan cong cu tang 1,Bộ 12 trò chơi gắn kết cha mẹ - con cái đã có trên web app,Moi nhan bo cong cu tang 1,Tra loi 1 dong,T0,CARE-1,KET_NOI,chua phan cong,chua soan
4,2026-09-30,Thu Tu,19:45,G2 - Gia Đình Thịnh Vượng,G2-W04-T4-VIEC,Việc Tử Tế Của Gia Đình,Cau chuyen gia dinh,Dạy con cho đi lần đầu tiên,Ke lai 3 dong,Ke viec tu te va gan the mot gia dinh khac,T0,CARE-2,KET_NOI,chua phan cong,chua soan
4,2026-10-01,Thu Nam,11:45,G1 - Cộng đồng GITA365,G1-W04-N4,Bai nhe,Thuc hanh co huong dan,Thử ngay 5 phút: gọi cho một người bạn đang nghĩ tới,Thu ngay 5 phut,Tra loi 1 dong,T0,CARE-1,NEN_MONG,chua phan cong,chua soan
4,2026-10-01,Thu Nam,20:00,G1 - Cộng đồng GITA365,G1-W04-T5-HOI_,Hỏi & Đáp Cùng Cố Vấn,Ket noi & nghi thuc,Bắt đầu lại sau một lần thất bại,Livestream 30-45 phut,Dat cau hoi truoc gio live,T2,CARE-3,NEN_MONG,chua phan cong,chua soan
4,2026-10-01,Thu Nam,20:00,G2 - Gia Đình Thịnh Vượng,G2-W04-T5-CHA_,Cha Mẹ Tỉnh Thức,Ky nang cha me - vo chong,Mười phút lắng nghe đúng cách,Bai ky nang + kich ban noi,Thu toi nay va ke lai,T1,CARE-3,KET_NOI,chua phan cong,chua soan
4,2026-10-02,Thu Sau,11:45,G1 - Cộng đồng GITA365,G1-W04-N5,Bai nhe,Bang chung & cau chuyen,Trước và sau: ba mươi ngày của một thành viên,Truoc va sau,Tra loi 1 dong,T0,CARE-1,NEN_MONG,chua phan cong,chua soan
4,2026-10-02,Thu Sau,19:45,G1 - Cộng đồng GITA365,G1-W04-T6-BANG,Bằng Chứng,Bang chung & cau chuyen,Ngày tôi thôi đổ lỗi cho hoàn cảnh,Cau chuyen chuyen hoa (UGC),Ke cau chuyen cua ban,T1,CARE-3,NEN_MONG,chua phan cong,chua soan
